Herr Präsident, die Sehnsucht nach Demokratie brachte die Berliner Mauer zu Fall.	Mr President, it was yearning for democracy that brought down the Berlin Wall.
Mit dieser Trennung der Beitrittskandidaten aus Mittel- und Osteuropa in willkommene, reiche Länder und den armen Hinterhof verursacht die Kommission bereits jetzt einen politischen Scherbenhaufen.	With this separation of the applicants from central and eastern Europe into welcome rich countries and the poor backyard, the Commission is already causing a political mess.
Die Zurückgewiesenen haben nicht nur die Nachteile der Grenzziehung in Europa zu tragen, sondern werden auch von ihrer Bevölkerung noch für die Misere verantwortlich gemacht.	The rejected not only have the disadvantages due to the drawing of international borders in Europe, but they are also held responsible by their people for the whole wretched state of affairs.
Ihre Bemühungen um Fortschritte bei den demokratischen Reformen und der wirtschaftlichen Stabilisierung im Land erfahren keine internationale Anerkennung.	Their efforts to make progress with democratic reforms and economic stabilization in their countries receive no international recognition.
Der negative Einfluß auf die Investitionsbereitschaft des ausländischen Kapitals ist vorprogrammiert.	The negative effect on the readiness of foreign capitalists to invest is preprogrammed.
Große Hoffnung wird in dieses Parlament gesetzt.	Great hopes are vested in this parliament.
Wir haben die Möglichkeit, ein politisches Zeichen zu setzen, daß wir keine Grenzziehung auf diesem Kontinent wollen.	It is possible for us to send out a signal that we do not want any drawing of borders in this continent.
Lange Zeit hat sich eine deutliche Mehrheit im außenpolitischen Ausschuß dafür ausgesprochen, die demokratischen Kräfte in mittelund osteuropäischen Ländern, die Träger des europäischen Gedankens sind, zu unterstützen und ihnen nicht den Stuhl vor die Tür zu setzen.	For a long time a clear majority in the Foreign Policy Committee has spoken out in favour of supporting the democratic forces in central and eastern European countries and not giving them the boot.
Aber warum, liebe Sozialdemokraten, fallen Sie reihenweise um?	But why, dear Social Democrats, are you toppling over like ninepins?
Gilt das Argument, daß die alleinige Aufnahme Estlands massive Auswirkungen auf die Freihandels- und Freizügigkeitszone zwischen den baltischen Staaten hat, jetzt denn nicht mehr?	Is it a sound argument that merely to accept Estonia will have massive effects on the free trade and free movement area between the Baltic states, now of all times?
Liebe Christdemokraten, warum ziehen Sie sich jetzt mühselig aus einer erarbeiteten Position zurück, wie Sie im Artikel 3 vom Bericht Oostlander enthalten ist?	Dear Christian Democrats, why are you so laboriously withdrawing from a position which has been achieved, like the one in point 3 of the Oostlander Report?
Wir Grünen stehen für den gemeinsamen Beginn der Verhandlung mit allen Beitrittskandidaten, die die demokratischen Voraussetzungen dafür geschaffen haben und die Menschenrechte und Minderheitenrechte anerkennen.	We in the Green Party are in favour of the common start of negotiations with all applicants who have created the necessary democratic conditions and who recognize human rights and the rights of minorities.
Natürlich ist es sinnvoll, den Beitritts- und Verhandlungsprozeß differenziert zu gestalten.	Of course it is sensible to have a differentiated form of entry and negotiation process.
Wir stellen den partnerschaftlichen Charakter und die multilaterale Dimension des Beitrittsprozesses in den Vordergrund und fordern deshalb eine substantielle Stärkung der Europakonferenz.	We give top priority to the cooperative character and the multilateral dimension of the entry process and therefore demand a substantial strengthening of the European Conference.
Wir unterstützen den Vorschlag der französischen Regierung, die die Zusammenarbeit auf weitere Bereiche wie institutionelle Reform, wirtschaftliche Zusammenarbeit und grenzüberschreitende Projekte ausdehnen will.	We support the proposal of the French Government which seeks to extend cooperation to further areas such as institutional reform, economic cooperation and cross border projects.
Die Europakonferenz bietet auch die Chance für den politischen Dialog mit Türkei und Slowakei und läßt ihn nicht abbrechen.	The European conference also offers the chance of political dialogue with Turkey and Slovakia and will not let it be interrupted.
Zivile Instrumente der Konfliktregulierung in diesem Land hat die Union allerdings noch nicht entwickelt.	Civilian methods of conflict regulation in this country have of course not yet been developed by the European Union.
In der Agenda 2000 findet die Annäherung der mittel- und osteuropäischen Länder an die Umwelt- und Sozialstandards der EU wenig Beachtung.	In Agenda 2000 scant regard is paid to the progress made by the central and eastern European countries towards meeting the environmental and social standards of the EU.
Wir halten das für eine zentrale, wichtige Sache.	We regard that as a central, important matter.
Dazu braucht es umfassende und zielgerechte Unterstützung finanzieller, rechtlicher und technischer Art. Gemessen an der politischen Herausforderung, die die Erweiterung auf unserem europäischen Kontinent darstellt, muß der Kommissionsvorschlag korrigiert werden und braucht mehr Mut zur Aufrichtigkeit.	In addition we need comprehensive and targeted support of a financial, legal and technical nature. In terms of the political challenge which enlargement on our European continent represents, the Commission must be corrected and needs more courage to be honest.
