Der Zeitplan war und ist in dieser Frage nun einmal sehr entscheidend.	Timing has always been vital in this area, and it still is.
Das zeigt, wie gut eigentlich im Agrarbereich das Mitentscheidungsverfahren funktionieren könnte. Trotz der knappen Zeit hat der Rat in Kenntnis Ihrer in erster Lesung verabschiedeten Änderungsanträge einen - wie ich glaube - tragfähigen Kompromiß erzielt, der die Rechte des Verbrauchers auf Gewährleistung der Herkunftssicherung und die Notwendigkeit eines praktikablen Systems miteinander in Einklang bringt.	This goes to show how well the codecision process could actually function on agricultural matters.Despite the shortage of time, the Council produced what I regard as a workable compromise taking account of the amendments you adopted at first reading. This reconciled the consumer' s right to guaranteed origin with the need for a practical system.
Wie das Parlament, so hat auch der Rat erkannt, daß die obligatorische Etikettierung zu einem früheren Zeitpunkt eingeführt werden müßte, als es im ursprünglichen Vorschlag vorgesehen war.	Like Parliament, the Council also recognised that compulsory labelling needed to be introduced earlier than stipulated in the original proposal.
Auch bei der Streichung aller Hinweise auf die EU-Herkunft hat sich der Rat der Forderung des Parlaments angeschlossen.	Furthermore, the Council even complied with Parliament' s request to delete all references to EU origin.
Schließlich ist der Rat auch der Forderung nachgekommen, bei Hackfleisch striktere Etikettierungsvorschriften einzuführen, und hat die von der Kommission vorgeschlagenen Vorschriften strenger gefaßt.	Lastly, the Council also took on board the request for stricter labelling requirements for minced beef, and tightened up the wording of the rules proposed by the Commission.
Alle diese gemeinsamen Lösungen zwischen Rat und Parlament konnten aber nur deshalb erzielt werden, weil sich die Mitgliedstaaten darauf geeinigt haben, nach 2002 keine nationalen Regelungen mehr für die Kennzeichnung von Rindfleisch anzuwenden.	It was only possible to achieve all these joint solutions between the Council and Parliament because the Member States agreed that no more national beef labelling schemes would apply after 2002.
Der größte Erfolg war, daß eine Einigung auf eine einheitliche gemeinschaftsweit geltende Regelung für die Etikettierung von Rindfleisch gelungen ist.	The greatest achievement was reaching agreement on a uniform Community-wide labelling scheme for beef.
Wir sollten daher diese Gemeinsamkeit, diesen Integrationsschritt nicht wieder in Frage stellen.	We should not therefore jeopardise this common interest and this move towards integration again.
Wie wir jetzt vom Umweltausschuß erfahren haben, ist aus politischer Sicht noch nicht alles geklärt.	As we have now heard from the Committee on the Environment, we are not yet out of the woods, politically speaking.
Es liegen Änderungsvorschläge für die Plenartagung vor, und die Annahme einiger dieser Änderungsvorschläge hätte weitreichende Konsequenzen vor allem für den Zeitplan und für die Annahme der Verordnung.	There are now amendments to be considered in plenary sitting, and approving some of these amendments would have far-reaching consequences, above all in terms of timing and as regards the adoption of the regulation.
So liegen, wie hier von mehreren Redner ausgeführt, zwei Änderungsanträge für die Etikettierung von Hackfleisch vor.	For example, as several speakers have noted, two amendments on labelling minced beef have been tabled.
Diese Frage ist sowohl von Ihnen hier im Parlament als auch vom Rat genauestens geprüft worden.	This issue has been scrutinised in great detail both here in Parliament and also by the Council.
Sie werden feststellen, daß der Rat auf Ihre Forderungen eingegangen ist und die Vorschriften strenger gefaßt hat, ja sogar wesentlich strenger, als es der ursprüngliche Vorschlag der Kommission vorgesehen hatte.	You will see that the Council has taken your comments on board and has tightened up the wording of the rules, and has in fact made them even stricter than stipulated in the original Commission proposal.
Mit einem der beiden neuen Änderungsanträge wird jetzt neuerlich die Auffassung vertreten, die Hersteller von Hackfleisch müßten genau angeben, woher das von ihnen verarbeitete Rindfleisch stammt.	One of the two new amendments reiterates the view that producers of minced beef should give precise details of the origin of the beef they have processed.
Meine Damen und Herren, angesichts der Bedingungen, unter denen heutzutage Hackfleisch industriell hergestellt wird, wäre das ganz eindeutig zu viel verlangt.	Ladies and gentlemen, given the industrial conditions under which minced beef is produced nowadays, this would quite obviously be asking too much.
Die Industrie ist zwar einverstanden mit der Auflage der lückenlosen Herkunftssicherung, aber sie tut sich ja schon bei der Angabe des Zubereitungs- und Schlachtortes von Hackfleischprodukten sehr schwer.	Although the industry agrees with watertight guarantees of origin, it is already having great difficulties in giving details about the point of slaughter and of preparation for minced beef products.
Das zeigt gleichzeitig auch, daß diese Verordnung eine entsprechende Wirkung haben wird.	This demonstrates that the regulation will also have a similar impact.
Daher läßt sich der neue Vorschlag mit Bestimmtheit nicht in die Praxis umsetzen.	So it will certainly not be possible to put the new proposal into practice.
Im schlimmsten Fall würde er sogar dazu führen, daß Unternehmen, insbesondere in den kleineren Mitgliedstaaten, in den Konkurs gehen und die Märkte für Hackfleisch wieder vollständig renationalisiert werden.	If the worst came to the worst, it could even lead to some companies, especially in the smaller Member States, going bankrupt and the market for minced beef being completely renationalised.
Das wäre der Effekt.	That is the effect it would have.
Da kann man mir auch nicht erklären, daß irgendeine polnische Kuh, die nach Österreich importiert wird, für den österreichischen Konsumenten zu einem Problem wird.	And you cannot convince me that a Polish cow imported into Austria would be a problem for Austrian consumers.
Denn ich kann Ihnen erklären, Herr Abgeordneter, wenn in Österreich ein Konsument Hackfleisch in einem Fleischerladen kauft, läßt er sich vor seinen Augen das Fleischstück faschieren, und dann hat man sowieso kein Problem, weder mit der Herkunft, noch mit sonst etwas.	Because I can tell the honourable Member that if a consumer buys minced beef in a butcher' s shop in Austria, he has the piece of meat minced in front of his own eyes, and in that case there are no problems either with origin or anything else.
Hier geht es vielmehr um die industrielle Verarbeitung von Hackfleisch, um die Burger-Produktion und ähnliche Produkte, und das ist heute ein kontinuierlicher industrieller Prozeß.	What we are talking about here is really industrial processing of minced beef to make burgers and similar products, and nowadays that is a continuous industrial process.
Wenn Sie da eingreifen, dann wird eben diese Firma nur mehr Herkünfte aus ihrem eigenen Land verwenden und sonst gar nichts.	If you start interfering in that, then companies like this will use products originating solely in their own country and nothing else.
Damit haben wir dann das Gegenteil von dem erreicht, was wir erreichen wollen.	And that would result in the opposite of what we are trying to achieve.
Der andere Änderungsantrag führt die obligatorische Angabe des Datums der Hackfleischherstellung an. Es ist ja nicht zum ersten Mal, daß wir diese Idee diskutieren.	The other amendment proposes making it compulsory to give the date minced beef was produced, and this is not the first time we have debated this idea.
Das Etikett enthält jedoch bereits eine direktere und eine klarere Art, dem Verbraucher diese entscheidende Information, bis wann er ein Produkt verbrauchen kann, mitzuteilen; es steht ja drauf, wie lange das Hackfleisch verwendet werden darf.	However, the label already features a more direct and clearer way of giving the consumer such vital information - the use-by date, which shows how long the minced beef can be used for.
Ich glaube, daß dieser neue Vorschlag daher dem Verbraucher in keiner Weise eine zusätzliche, bessere Information bieten kann.	I do not therefore believe that this new proposal would improve or add to information for consumers.
Der Gemeinsame Standpunkt sieht im übrigen auch die Möglichkeit vor, diese Information - wenn jemand dies wünscht - unter dem sogenannten vereinfachten Verfahren hinzuzufügen.	The common position also provides for such information to be given under the 'simplified procedure' if anyone requires this.
Daher würde ich vorschlagen, daß wir an den Vorschriften für das Hackfleisch, so wie sie im Gemeinsamen Standpunkt enthalten sind, festhalten sollten.	I therefore suggest that we should stick to the provisions on minced beef as laid down in the common position.
Ich bin mir sicher, daß Sie bei genauer Durchsicht des Textes feststellen werden, daß die darin vorgesehenen Vorschriften strikt genug sind und daß unser Ziel, die Transparenz zu verbessern, erreicht wurde.	I am sure that if you take a closer look at the text you will see that the rules stipulated in it are strict enough and that our objective of improving transparency has been achieved.
Dann möchte ich auf die hier so viel diskutierte Frage der Kategorien eingehen.	I would now like to turn to the much discussed issue of category.
Das war, wie Sie wissen, Teil des ursprünglichen Kommissionsvorschlags, und es spricht meiner Meinung nach sehr viel für eine solche Angabe.	As you know, this formed part of the original Commission proposal, and I think there is a lot to be said for giving this information.
Sie führt zu mehr Transparenz, und ich glaube, sie ist wichtig für den Konsumenten.	It leads to greater transparency and I believe it is important for consumers.
Ich kann Ihnen nur sagen, bei mir zuhause zahlt man für Kalbfleisch 50 % mehr als für Rindfleisch.	I can only tell you that where I come from, you pay 50% more for veal than for beef.
Als Konsument möchte ich dann schon wissen, wofür ich 50 % mehr bezahle.	So as a consumer, I would like to know what I am paying 50% more for.
Es ist auch ein Preisunterschied, ob ich Kuhfleisch kaufe, oder ob ich Fleisch von einem jungen Bullen kaufe, und zwar ungefähr ein Drittel Preisunterschied.	There is also a price difference of about one third depending on whether I am buying beef from a cow or beef from a young bull.
Ist es dann nicht im Interesse des Konsumenten, zu wissen, wofür er eigentlich mehr bezahlt hat bzw. die Garantie zu haben, wenn er einen höheren Preis zahlt, daß er dafür auch die entsprechende Ware bekommt?	In that case it is surely in the interest of consumers to know what they are paying more for and to be given a guarantee that when they pay a higher price, they are actually getting what they paid for.
Jetzt werde ich Ihnen auch erklären, was wir hier eigentlich vorhaben.	Let me explain now what we are actually proposing here.
Die Kategorien, soweit es sich um Karkassen, also um ganze Schlachtkörper handelt, gibt es seit 20 Jahren verpflichtend in der Gemeinschaft.	Categories have already been compulsory in the Community for 20 years as far as whole carcasses are concerned.
Als Kategorien sind vorgesehen: Kälber, junge Bullen, Ochsen, Färsen, Kühe und ältere Bullen.	The existing categories are: calves, young bulls, bullocks, heifers, cows and older bulls.
Das soll auch für die Einführung der Kategorien die Basis bleiben.	This is also intended as the basis for introducing categories in this case.
Wir wollen nur, daß das, was derzeit als Kennzeichnung für die Karkassen vorgesehen ist, auch für die Teile vorgesehen wird.	We simply want the labelling already applying to whole carcasses to apply to individual cuts as well.
Das ist alles.	That is all.
Wir sind zusätzlich bereit, für bestimmte Zubereitungsarten Unterscheidungen einzuführen, denn z. B. für Gulaschfleisch müssen wir nicht so eine präzise Unterscheidung machen, da reicht es meiner Meinung nach, wenn man weiß, ob man Kalbsgulasch- oder Rindsgulaschfleisch kauft.	We are also willing to make distinctions for meat prepared in different ways. For example, it is not necessary to make a precise distinction for casserole meat, since as I see it is enough to know if you are buying veal or beef casserole meat.
Darum geht es, und um sonst gar nichts!	That is what this is about, and that alone!
Wenn Sie jetzt sagen, ja, aber die Kommission weiß ja nicht einmal, wie das endgültig aussehen wird, da muß ich Ihnen eines sagen: Das ist ein typisches Henne-Ei-Problem.	If you say that the Commission does not even know what form the final system will take, then I have to reply that this is a typical chicken-and-egg situation.
Es muß zuerst eine Ratsverordnung in Kraft sein, damit wir Kommissionsregelungen, Ausführungsregelungen festlegen können.	We cannot lay down Commission rules and implementing provisions until a Council regulation is in force.
Die Gestaltung der Kategorien im Detail ist eine Bestimmung für die Ausführungsregelungen.	The category detail is a matter for the implementing provisions.
Daher können Sie nicht von der Kommission verlangen, daß wir eine Garantieerklärung darüber abgeben, wie das ganz genau sein wird, weil wir das ja im Verwaltungsausschuß mit den Mitgliedstaaten erst diskutieren müssen.	So you cannot demand guarantees from the Commission as to exactly how the whole system will operate, because we will have to discuss this with the Member States in the Management Committee first.
Es ist rechtlich nicht möglich, was Sie hier verlangen, außer, Sie würden das Ganze direkt zum Bestandteil der Ratsverordnung machen.	What you are calling for here is not legally possible, unless you want to make the whole system part of the Council regulation itself.
Das ist aber dann ein anderes Thema.	But that would be another kettle of fish.
Daher glaube ich schon, daß das Prozedere, das hier vorgesehen ist, richtig ist.	That is why I think that the procedure proposed here is correct.
Ich kann Ihnen aber eines zusagen, wenn Sie das wollen: Für die Kategorien, die ich genannt habe, wird die Kommission eintreten, jedenfalls nicht für zusätzliche Verkomplizierungen.	But I can give you one assurance, if you wish: the Commission will be backing the categories that I have mentioned, but not anything more complicated.
Eines muß uns klar sein: Wenn wir diese Kategorien nicht haben, wird auch hier der Effekt sein, daß wir zu einer Renationalisierung der Kennzeichnungssysteme zurückkehren werden.	We have to be clear about one thing: if we do not introduce these categories, the result will be a return to national labelling systems in this area too.
Das, glaube ich, kann ganz bestimmt nicht im europäischen Interesse sein.	That can surely not be in Europe' s interest.
Politisch kann man diese Sache natürlich verschieden sehen.	Of course, politically speaking there is more than one way of looking at this issue.
Die Kommission - und das habe ich wohl klar gemacht - teilt zwar nicht die Auffassung derer, die diese Angabe für undurchführbar, für sinnlos oder unbezahlbar halten, aber ich kann nicht behaupten, daß ein System undenkbar ist, das eine solche Bestimmung nicht enthält.	Although the Commission, and I think I have made this clear, does not agree with those who think that providing this information is impracticable, pointless or prohibitively expensive, I cannot say that a system without this kind of provision is out of the question.
Nur, was wir auf jeden Fall als Kommission vermeiden wollten, ist, daß neuerlich nationale Regelungen in Kraft treten, die in ihrer Wirkung dazu führen, daß wir eine totale Renationalisierung der Märkte haben und de facto den gemeinsamen Markt unterminieren.	But what the Commission wanted to avoid at all costs was a return to national schemes, which in practice would lead to a total renationalisation of markets, thus undermining the common market.
Das kann wohl nicht die Idee sein.	Surely that is not the idea.
Daher bin ich der Meinung, daß wir auch in diesem Punkt an dem Gemeinsamen Standpunkt festhalten sollten.	So I believe that we should adhere to the common position in this respect as well.
Ich möchte noch kurz auf zwei Dinge aufmerksam machen.	I would now like to make two brief points.
Der Abgeordnete Hudghton hat gefragt, ob die freiwillige Aufnahme von Herkunftsbezeichnungen, wie beispielsweise Orkney-Inseln oder ähnliches, möglich wäre.	Mr Hudghton asked if it would be possible to display information regarding the area of origin, such as the Orkney Islands for example, on a voluntary basis.
Freiwillige Herkunftsbezeichnungen solcher Art sind möglich, vorausgesetzt, daß sie keine geschützten Ursprungsbezeichnungen sind, weil logischerweise geschützte Ursprungsbezeichnungen als solche geschützt werden müssen.	Such voluntary information on area of origin is possible, as long as protected designations of origin are not involved, because it logically follows that protected designations of origin must be protected as such.
Damit komme ich dann zum letzten Argument, das von verschiedenen Abgeordneten angeführt wurde, nämlich das Fehlen der technischen Voraussetzungen.	That brings me to the last argument put forward by various Members, that is to say the failure to introduce technical requirements.
Wenn wir unsere Entscheidung danach orientieren, wann es dem Letzten einfällt, daß er jetzt auch bereit wäre, die technischen Voraussetzungen zu schaffen, dann orientieren wir uns eigentlich an den Bremsern der obligatorischen Rindfleischkennzeichnung.	If we were to gear our decision-making to when it occurs to the last Member State that it is now ready to establish technical requirements, then we would be gearing the process to those who are dragging their feet on compulsory beef labelling.
Das sollten wir nicht zulassen. Das wäre kontraproduktiv.	We cannot accept that, it would be counterproductive.
Eigentlich wird ja der Markt diejenigen bestrafen, die nicht bereit waren, rechtzeitig die technischen Voraussetzungen für die Rinderkennzeichnung zu schaffen.	The market will in fact penalise those who were not prepared to establish the technical requirements for beef labelling promptly.
Ich bitte Sie daher, diese Überlegungen bei der Abstimmung morgen zu bedenken.	I would therefore ask you to bear these considerations in mind when you vote tomorrow.
Ich kann Ihnen auch sagen, daß dieses Ding in der Praxis nicht so kompliziert aussehen wird, wie manche hier geglaubt haben.	I can also assure you that this system will not be as complicated in practice as many of you here imagine.
Hier haben Sie das Modell eines solches Labels, wie wir es für die Zukunft vorsehen.	This is a mock-up of how one of these labels will look in future.
Hier ist auch noch Raum frei, wo der Preis und sonstige Angaben, die der Verbraucher auf jeden Fall braucht, eingetragen werden können.	And there is still room for the price and any other information consumers specifically require anyway.
Sie sehen, es kann funktionieren!	You see, it can work!
