Herr Präsident, Herr Prodi! Die Diskussion haben wir vor einigen Wochen schon einmal gehabt.	Mr President, Mr Prodi, we have already had this discussion, several weeks ago in fact.
Im Detail kann ich Sie natürlich nicht so loben.	Of course, I am less impressed when it comes to the detail.
Das wird Sie und niemanden meiner Kolleginnen und Kollegen überraschen.	This will surprise neither you nor any of my fellow MEPs.
Sind Sie denn kohärent, Herr Prodi?	Where is your coherence, Mr Prodi?
Ich habe Ihr Programm, das Sie für Ihre gesamte Kommission repräsentieren, gelesen.	I have read your programme, which you represent on behalf of your Commission as a whole.
Sie sagen z. B., daß Sie die Umweltpolitik in alle anderen Politikbereiche einbeziehen wollen.	You say, for example, that you wish to take account of environmental policy in all the other policy areas.
Der einzige Bereich, in dem das geschehen ist, ist der Bereich von Frau Palacio, nämlich der Verkehrsbereich.	The only area where that has happened is Mrs Palacio' s area, i.e. transport.
Wo ist denn die Umweltpolitik in den anderen Sektoren einbezogen worden, z. B. bei der Erweiterung - ein riesiges Problem -, bei der Lebensmittelsicherheit und beim Verbraucherschutz?	In what way exactly has environmental policy been taken account of in the other sectors, for example enlargement - a huge problem - food safety and consumer protection?
Wo ist das im Text erwähnt?	Where does it feature in the text?
Bei der Handelspolitik zum Beispiel: Nichts, kein Wort, Herr Prodi.	Take trade policy, for example, nothing, not a single word, Mr Prodi.
Beim Wettbewerb, bei der Wirtschaftspolitik: Kein Wort.	Take competition or economic policy: not a single word.
Nirgendwo!	It is nowhere to be found.
Das heißt, wieder nur Lippenbekenntnisse.	Another case of paying lip service.
Bei der Umweltpolitik steht wie immer, sie muß einbezogen werden, als Pflichtübung, tatsächlich tun Sie es aber nicht.	Statements are always being made to the effect that environmental policy must be taken account of, and there is no way round this, but you do not actually put this into practice.
Daran werde ich Sie auch messen müssen.	That is something else I will need to judge you on.
Sie haben nirgendwo die Verknüpfung oder die möglichen wechselseitigen Abhängigkeiten der verschiedenen Politikbereiche deutlich ausgewiesen.	Nowhere have you made clear reference to the links between or the possible interdependence of the various policy areas.
Sie dürfen das den anderen Referaten nicht durchgehen lassen.	You must not neglect to mention this in your other papers.
Das müssen Sie kritisieren, und das dürfen Sie in dieser Form auch nicht veröffentlichen.	You must be critical of this fact, and you must not publish them in this form either.
Sie haben viel zu konkreten Vorhaben gesagt, und das ist auch sehr nett und gefällt mir, aber es reicht nicht aus.	Your proposals were far too specific, which is all very nice and is something I welcome, but it is not enough.
Ihre Erfolgskontrolle, Herr Prodi, findet nämlich wöchentlich, monatlich und jährlich statt.	We will gauge how successful you have been, Mr Prodi, on a weekly, monthly and annual basis.
Wöchentlich findet sie statt, in welcher Form was in der Kommission passiert.	We will assess what is happening in the Commission, and in what form, on a weekly basis.
Was in den Ausschüssen und im Plenum passiert, findet monatlich statt.	We will see how matters stand in the committees and in plenary sittings, on a monthly basis.
Wie verhält sich die Kommission in den Ausschüssen und im Plenum?	How does the Commission perform in the committees and in the plenary sittings?
Wie verhalten Sie sich z. B. zu Änderungsanträgen des Europäischen Parlaments?	For example, how do you deal with the European Parliament' s proposed amendments?
Wenn Sie mit uns zusammenarbeiten wollen, und wenn wir beide, Sie, Herr Prodi, für die Kommission, und wir, das Europäische Parlament, sagen, unser aller Erfolgskontrolle sind die Wahlen 2004 und die Wahlbeteiligung, dann möchte ich von Ihnen hören, daß alle Änderungsanträge, über die dieses Parlament mit Mehrheit abstimmt, von der Kommission übernommen werden.	If you want to work with us, and if we both - you, Mr Prodi, on behalf of the Commission, and we, the European Parliament - say that we will all gauge our success according to the elections in 2004 and the election turn-out, then I would like to hear you say that all the proposed amendments that this Parliament has a majority vote on will be adopted by the Commission.
Und jährlich findet Ihre Erfolgskontrolle statt, wenn wir das Arbeitsprogramm des vergangenen Jahres nehmen und überprüfen, was Sie erfüllt und was Sie geliefert haben, und in welcher Qualität Sie das geliefert haben.	And we will assess your own performance on an annual basis, when we take the programme from the previous year and look at what you have achieved and managed to deliver, and to what standard you have done so.
Sehen Sie, Herr Prodi, das ist viel einfacher, als Sie befürchten.	You see, Mr Prodi, it is a lot more simple than you might fear.
Sie müssen nicht bis zum Jahr 2004 warten, Sie bekommen jedes Jahr fortlaufend Zeugnisse und müssen nicht die ganze Zeit darauf waren.	You will not have to wait until 2004, your appraisal will be ongoing every year and you will not be kept waiting for it all the time.
Und Sie bekommen die Zeugnisse in der Form, wie wir es oft in der Schule gehört haben: streng, aber gerecht, und das werden wir auch mit diesem Arbeitsprogramm machen, das sehr ehrgeizig ist und von dem ich hoffe, daß Sie wenigstens einen Teil davon am Ende des Jahres auch geliefert haben werden.	Furthermore, your appraisal will be in true school report style: firm but fair, and we will adopt the same approach to this programme, which is very ambitious. I hope that you will have delivered at least part of it by the end of this year.
