amtierender Ratspräsident.	President-in-Office of the Council.
Es wird oft auf die Europäische Union geschaut, auf den Zusammenschluss europäischer Staaten. Die Arabische Liga hat jedoch keine solche Klammerfunktion, sondern man denkt oft sehr national und will alles für sich regeln.	The League often looks to the EU, the association of European states, but it has no such uniting function; instead its members often have a very national outlook and prefer to regulate their own matters.
Doch mittlerweile hat man festgestellt, dass gerade bei der Lösung von Konflikten ein Zusammenschluss besser ist, um auch seine Interessen entsprechend besser durchsetzen zu können.	Nevertheless, there has now been a realisation that, when it comes to conflict resolution, in particular, an association is better, and accordingly is a better means of asserting a country's own interests.
Ich möchte noch auf die verschiedenen Äußerungen in der Debatte in Bezug auf den Konflikt Israel-Palästina eingehen.	I should also like to discuss the various comments that have been made in the debate with regard to the Israeli-Palestinian conflict.
Natürlich ist mir klar, dass viele der Gespräche, der Dialogforen, oft beeinträchtigt sind durch den ungelösten Konflikt zwischen Israel und Palästina.	I am of course aware that the unresolved conflict between Israel and the Palestinian territories often interferes with many of the talks, the forums for dialogue.
Aber ich sage auch ganz bewusst: Manches Problem in den arabischen Ländern hätte auch gelöst werden können, ohne dass zuvor dieser Konflikt beigelegt wird.	However, I should also like to say quite deliberately that many problems in Arab countries could also have been solved without a prior resolution of this conflict.
Bei der ganzen Debatte - auch mit Blick auf die Äußerungen des Kollegen Swoboda und anderer - sollten wir allerdings die Chronik der Entwicklungen beachten.	However - including in view of comments by Mr Swoboda and others - we should bear in mind the chronicle of developments in this whole debate.
Wir haben nie davon gesprochen, dass die Wahlen in den palästinensischen Gebieten unfair gewesen waren.	We have never said that the elections in the Palestinian territories were unfair.
Im Gegenteil! Sie sind, wie wir feststellen konnten, fairer abgelaufen als in manchen anderen Ländern.	On the contrary, we noted that they were conducted more fairly than those in many other countries.
Aber ein wichtiger Aspekt war doch auch, dass die neu gewählte Regierung nicht erklärt hat, dass sie die von der Vorgängerregierung eingegangenen Verpflichtungen einhält - zumindest nicht zu Beginn, Herr Swoboda, sondern stufenweise, und jetzt erst eigentlich auch durch die Initiative von Saudi-Arabien!	Another important aspect, however, is that the newly elected government failed to declare its intention to comply with the commitments entered into by the previous government - at least not initially, Mr Swoboda; only gradually - and now only as a result of the initiative of Saudi Arabia.
Vielen arabischen Staaten ist es gelungen, eine Regierung der nationalen Einheit zu bilden.	Many Arab states have succeeded in forming a national unity government.
Weil das gelegentlich verwischt wird und damit Sie mir am Ende des Prozesses keinen Vorwurf machen, sage ich ganz klar, dass in der Zeit der Blockade die Europäische Union - die für die Außenbeziehungen zuständige Kommissarin, Frau Ferrero-Waldner, hat das immer deutlich gemacht - eine große finanzielle Unterstützung für die Palästinenser geleistet hat.	I would say quite clearly - because this is occasionally obscured, and so that you do not reproach me at the end of the process - that, at the time of the blockade, the EU provided considerable financial support to the Palestinians: a fact that the Commissioner responsible for external relations, Mrs Ferrero-Waldner, has always made clear.
Die Beträge, die ausbezahlt wurden, waren oftmals höher als in der Zeit, als die so genannte Blockade noch nicht bestand.	The sums paid out were often greater than in the period before the 'blockade'.
Uns muss jetzt daran gelegen sein, dass wir mit der Arabischen Liga und natürlich mit den beiden Akteuren Israel und Palästina in der Wiederbelebung des Friedensprozesses - die auch ein Verdienst der Europäischen Union und des Nahostquartetts ist - Fortschritte erzielen und das erreichen, was wir heute gefordert haben.	We must now concern ourselves, together with the Arab League and, of course, the two actors Israel and Palestine, with making progress in reviving the peace process - an achievement to which the EU and the Quartet contributed - and with meeting the demands we have heard today.
