Herr Präsident, Herr Kommissar, liebe Kolleginnen und Kollegen!	.
Wir nehmen diese Kürzung zu großen Teilen zurück, aber wir nehmen das Geld auch nicht anderen wichtigen Aktionsfeldern weg. Vielmehr haben wir das Abschmelzen der recht hohen Flexibilitätsmarge von 10 % beschlossen, und damit kann der Anteil der Chancengleichheit immerhin um 4 % erhöht werden und beträgt jetzt 12 % des PROGRESS-Budgets.	We are reversing many of these cuts, but, rather than taking the money away from other important target areas, we have done this by voting to make the very high flexibility margin of 10% less rigid and thus make it possible for the share allocated to gender equality to be increased by 4% to its present 12% share of the budget for PROGRESS.
Dem Ausschuss sind darüber hinaus fünf Punkte in diesem Programm besonders wichtig, und ich setze darauf, dass wir hierbei auch von der Kommission unterstützt werden. Erstens möchten wir die Sichtbarkeit der einzelnen Aktionsfelder stärken.	The Committee also regards five points in this programme as being particularly important, and I expect the Commission to support us in this.
Daher soll der Programmausschuss jetzt auch fünf Unterausschüsse haben. Außerdem soll er einmal jährlich für jeden Bereich einen ausführlichen Meinungsaustausch über die Durchführung des Programms organisieren, damit auch in den Fachausschüssen dieses Hauses unter deren Beteiligung hierüber debattiert werden kann.	For a start, we want to make the individual target areas more visible, which means that the programme committee needs to have five sub-committees, and also needs to organise for each target area an annual exchange of views on the way in which the programme is put into effect, enabling each of these committees to join with the specialist committees in this House in debating it.
Zweitens wollen wir auch in Zukunft am transnationalen Austausch festhalten, denn nur so erhalten wir wirklich den gewünschten europäischen Mehrwert. Und drittens soll PROGRESS dazu beitragen, die im Programm gewonnenen Erfahrungen wirklich rascher unter den Mitgliedstaaten zu verbreiten als dies in den laufenden Programmen der Fall ist.	Secondly, we want the transnational exchange to be maintained in future, for that alone will provide Europe with the added value that we want, and, thirdly, we want PROGRESS to help to really get the experience gained from the programme circulated among the Member States faster than the current programmes have done.
Natürlich wollen wir auch als Parlament – das ist der vierte Punkt – nun stärker in die Begleitung des Programms eingebunden werden.	We in this Parliament do of course now want – and this is my fourth point – to be more closely involved in monitoring the programme.
Das ist schon wegen der siebenjährigen Laufzeit des Programms meiner Meinung nach unverzichtbar.	As I see it, the mere fact that the programme is to run for seven years makes this an absolute necessity.
Die Aufteilung der jährlichen Mittel auf die einzelnen Programmbereiche sollte daher unserer Meinung nach auch nicht vom Programmausschuss vorgenommen werden, sondern im jährlichen Haushaltsverfahren.	We therefore believe that the distribution of the annual funding around the individual target areas should not be a responsibility for the programme committee but rather a matter for the Budget procedure each year.
Und ich komme jetzt zum letzten Punkt, der Rolle der Sozialpartner und der Nichtregierungsorganisationen.	That brings me to my last point, the role of the social partners and non-governmental organisations.
Hier konnte der Ausschuss überhaupt nicht nachvollziehen, wieso die Kommission deren Rolle auf die bloße Verfolgung der EU-Ziele beschränken will.	The Committee found the Commission’s desire to limit their role to no more than the pursuit of the EU’s objectives incomprehensible.
Für uns ist es unabdingbar, dass sie auch in die Weiterentwicklung von Strategien eingebunden sind.	We regard their involvement in the ongoing development of strategies as indispensable.
Außerdem muss auch nationalen und regionalen Nichtregierungsorganisationen die Möglichkeit der Teilnahme an PROGRESS offen stehen.	The possibility of participation in PROGRESS must also be open to national and regional non-governmental organisations.
Der maximale Kofinanzierungsbetrag sollte daher wieder 90 % und nicht etwa 80 % betragen, denn Letzteres würde viele EU-Netzwerke vor große Schwierigkeiten stellen.	It therefore follows that the maximum co-funding should continue to stand at 90% and not at something like 80%, which would be a cause of major difficulties to many EU networks.
