Herr Präsident, liebe Kolleginnen und Kollegen! Ich möchte mich zu vier Punkten äußern.	Mr President, ladies and gentlemen, I wish to make four points.
Ich hoffe, dass bei der Revision dieses SOKRATES-Programms, die wahrscheinlich innerhalb der nächsten zwei Jahre erfolgt, ein bisschen mehr Geld auch für SOKRATES fließt.	I hope that the revision of this Socrates programme that will probably take place within the next two years will also bring Socrates a little more money.
Ich freue mich, bzw. das Parlament kann sich freuen, dass es jetzt eine Initiative zum e-Learning gibt.	I am pleased, and Parliament can be pleased, that there is now an e-Learning initiative.
Das Parlament, vertreten durch den Haushaltsausschuss - wir haben es gehört, auch Herr Costa Neves hat es gesagt - fordert, dass dies nicht zu Lasten irgendeines bestehenden Programms gehen darf.	We have heard, as Mr Costa Neves has said, that Parliament, represented by the Committee on Budgets, is pressing for this not to be at the expense of any existing programme.
Diese Programme haben ihren Zweck!	These programmes have their purpose!
Und sie sind dafür und für nichts anderes finanziell ausgestattet!	They have the financial resources for that and nothing else!
Darum halte ich es für richtig, wenn wir sagen, e-Learning ist wichtig, und wir unterstreichen das, dann muss es auch ein Programm geben, das ordentlich mit finanziellen Mitteln ausgestattet wird. Wir brauchen keine Doppelarbeit in dem Bereich.	I therefore believe that if we say that e-Learning is important, and we stress that it is, then there must also be a programme with the proper financial resources.
Das dritte ist, ich bedauere und beklage, dass wir an den allgemeinen Dingen nicht ausreichend beteiligt waren - ich habe das ja vorhin in Vertretung von Herrn Gargani schon gesagt.	The third point is that I regret and deplore the fact that we were not sufficiently involved in the general matters; I said so earlier on Mr Gargani' s behalf.
Wir müssen für die konkreten Ziele des Systems wirklich zuständig sein, wir müssen helfen, dies zu verwirklichen, und die interinstitutionelle Kooperation muss gewährleistet sein.	We really must be responsible for the system' s specific objectives, we must help to bring this about and inter-institutional cooperation must be ensured.
Ich nehme an, ich reflektiere, was Sie gesagt haben, Frau Kommissarin, Sie haben dies so verstanden, und Sie werden es zukünftig einbinden.	I assume I am reflecting what you said, Commissioner, you understood it that way and you will include it in future.
Und mein vierter Punkt ist folgender: Angesichts der Erweiterungsdiskussion und der nächsten Regierungskonferenz brauchen wir eine wirkliche Sichtbarkeit unserer Aufgaben in dieser Europäischen Union, wir brauchen einen europäischen Bildungsraum, der dem Bürger sichtbar gemacht wird.	My fourth point is this: In view of the debate on enlargement and the forthcoming Intergovernmental Conference, we need our work in this European Union to be genuinely visible, we need a European educational area that is visible to the citizen.
Deswegen muss der Bürger auch wirklich selbst einen Zugang dazu haben, deswegen braucht der Bürger auch durch die Vertretung seiner Abgeordneten die ständige Mitinanspruchnahme dieser Programme.	This means it must be really accessible to the citizen himself, and the citizen needs to be permanently involved in these programmes through the representation of his MEPs.
Wir brauchen die Richtlinien, wir brauchen ehrgeizige Ziele, wir brauchen Maßnahmen, wir brauchen Aktionsprogramme, die natürlich auch mit Mitteln ausgestattet sind, und wenn wir das alles im Bereich der Bildung tun, dann brauchen wir nicht eben mehr so viele Informationskampagnen der Kommission und des Parlaments, dann haben wir den Bürger da erreicht, wo er ist.	We need the directives, we need ambitious objectives, we need measures, we need action programmes, with their own funding, of course, and if we do all that in education, then we shall not need so many Commission and Parliament information campaigns any more because we shall have reached the citizen where he is.
Ich hoffe, wir gehen diesen Weg gemeinsam!	I hope we can go this way together.
