Herr Präsident, liebe Kolleginnen und Kollegen!	Mr President, ladies and gentlemen, let me begin on a personal note.
Wenn ich mir da die Finanzvereinbarung von Berlin ansehe, habe ich nicht den Eindruck, daß der Rat das schon völlig verstanden hat.	Looking at the financial agreement reached in Berlin, I do not have the impression that the Council has fully realised that yet.
Übrigens, wir hier im Parlament haben auch noch nicht völlig verstanden, daß man der Kommission die Mittel dafür geben muß, daß sie die Verantwortung, die wir ihr übertragen, auch tragen kann.	In fact we here in Parliament have not fully realised yet either that the Commission has to be given the funds to enable it actually to assume the responsibilities we are transferring to it.
Beifall	Applause
Die Beschlüsse von Berlin zur Agenda 2000 sind ein Kompromiß, das ist normal, und doch ist er teilweise schwer erträglich, weil einige der Kompromisse, die zwischen den nationalen Interessen gefunden wurden und auch gefunden werden mußten, eben doch auch zu Lasten und auf Kosten Europas gehen.	The Berlin decisions on Agenda 2000 are a compromise, which is only normal, yet in some respects it is a difficult one to accept because some of the compromises that were and had to be reached between national interests will in fact be to the detriment and at the expense of Europe.
Das Parlament wird das in den nächsten Wochen im einzelnen kritisch prüfen, und seien Sie sicher, wir werden da noch manches Haar in dieser Kompromißsuppe finden.	Over the next few weeks Parliament will subject them to critical and detailed analysis and you may be sure that we will find quite a few things to quibble about in these compromises.
Darauf will ich jetzt im einzelnen nicht eingehen.	I will not go into that in detail now.
Nur soviel: Die Agrarreform wurde gestreckt.	Let me just say this: the agricultural reform was watered down.
Sie werden sie in kurzer Zeit nachbessern müssen, nicht nur, weil die Reform nicht ausreicht, um die Erweiterung zu verkraften, sondern auch wegen der nächsten WTO-Verhandlungen.	You will have to improve on it in a very short time, not just because the reform does not go far enough to cope with enlargement but also in view of the next round of WTO negotiations.
Zweitens: Für eine neue Finanzielle Vorausschau ist eine interinstitutionelle Vereinbarung erforderlich.	Secondly, a new financial perspective requires an interinstitutional agreement.
Wir wollen das Berliner Finanzpaket nicht aufschnüren, aber wir wollen einige Teile so ordnen, daß sie sich unseren Forderungen und Prioritäten annähern, z.B. bei den Maßnahmen zur Langzeitarbeitslosigkeit und zur Unterstützung einer aktiven Arbeitsmarktpolitik.	We do not want to undo the Berlin financial package, but we want to organise some parts of it in such a way as to make them more consistent with our demands and priorities, e.g. the measures to combat long-term unemployment and support an active labour market.
Wir wollen eine interinstitutionelle Vereinbarung über die Finanzielle Vorausschau, wir wollen sie wirklich, aber wir wollen sie nicht um jeden Preis.	We want an interinstitutional agreement on the financial perspective, we really do want it, but not at any price.
Es handelt sich schließlich um eine Vereinbarung, nicht um ein Diktat.	After all, this is an agreement, not a dictate.
Dennoch und insgesamt, mit der Agenda 2000 haben Sie in Berlin die größte Reform der EU-Politiken auf den Weg gebracht, die die EU bisher unternommen hat.	Nevertheless and overall, with Agenda 2000 you have set in motion the greatest reform of EU policies that the EU has ever undertaken.
Herr Präsident des Europäischen Rates: Wir werden alles daran setzen, hier im Parlament die notwendigen Mehrheiten dafür zu finden und sie noch vor dem Ende dieser Wahlperiode zu verabschieden.	Mr President-in-Office of the European Council: we will do our utmost to obtain the necessary majorities for Agenda 2000 in Parliament and to adopt it before the end of this electoral term.
Wir wissen, daß die Agenda 2000 nur ein Teil der notwendigen Reformen ist, um die EU fit für die Erweiterung zu machen, und deswegen freue ich mich über Ihre Ankündigung heute, im Juni in Köln den Fahrplan für die notwendigen institutionellen Reformen festzulegen.	We know that it makes up only a part of the reforms needed to make the EU fit for enlargement, which is why I welcome your announcement today that you will determine the timetable for the necessary institutional reforms in Cologne in June.
Wir unterstützen Sie ausdrücklich in der Absicht, diesen Reformprozeß abzuschließen, noch bevor der erste osteuropäische Staat dieser Europäischen Union beitritt.	We firmly support you in your intention to conclude this reform process before the first Eastern European country joins the European Union.
Noch etwas erwarten wir von Ihrer Ratspräsidentschaft.	There is something else we expect of your presidency of the Council.
Die Europäische Union war in der Lage, einen Pakt zur Stabilisierung der gemeinsamen Währung zu schließen, das war gut.	The European Union managed to conclude a pact on stabilising the common currency, which was a good thing.
Sie muß aber nun auch in der Lage sein, einen Pakt zur Arbeit für die Menschen zu schließen, das ist genauso gut.	But now it must also manage to conclude a pact on employment, which is an equally good thing.
Deswegen unterstützen wir Ihre Absichten für den Gipfel in Köln.	That is why we support your intentions for the Cologne summit.
Beifall	Applause
Zum Kosovo: Das ist für uns alle, gerade auch in meiner Fraktion, ein schwieriges Thema.	Turning to Kosovo: this is a difficult subject for all of us, particularly in my group.
Wir begrüßen die Geschlossenheit, mit der sich der Europäische Rat in Berlin hinter den Militäreinsatz der NATO im Kosovo gestellt hat.	We welcome the united support shown by the European Council in Berlin for NATO's military action.
Das war auch eine Bewährungsprobe für die gemeinsame Außen- und Sicherheitspolitik, denn damit haben Sie gezeigt, Europa ist eine Wertegemeinschaft, nicht nur ein Wirtschaftsstandort.	That was another test of the common foreign and security policy, for it showed that Europe is a community of values, not just an economic community.
Meine Fraktion unterstützt in ihrer großen Mehrheit die Haltung der Mitgliedstaaten zur Militäraktion.	A large majority of my group supports the Member States' position on military action.
Wir halten diese Aktion für unvermeidlich, aber über die Grenzen und die Notwendigkeit des Militärischen hinaus möchte ich zwei, drei Punkte hervorheben.	We regard this action as inevitable, but over and above the limits and necessity of military action, I would like to highlight two or three points.
Es ist richtig: Wir müssen dem Verbrecher Milosevi und seiner Soldateska und seinen Mörderbanden in den Arm fallen.	It is true that we have to restrain the criminal Milosevic and his bands of soldiers and murderers.
Am Ende dieses blutigen Jahrhunderts dürfen Nationalismus und Rassismus keine Chance mehr bekommen in Europa, nirgendwo in Europa!	At the end of this bloody century, nationalism and racism must no longer be given a chance in Europe, not anywhere in Europe!
Das Völkerrecht baut auf nationale Souveränität und territoriale Integrität.	International law builds on national sovereignty and territorial integrity.
Das sind hohe Güter, aber nationale Souveränität und territoriale Integrität dürfen für keinen Staat in Europa die Lizenz zur Unterdrückung, zur Vertreibung und zum Völkermord bedeuten.	These are important values, but no state in Europe may take national sovereignty and territorial integrity as a licence to oppress, displace or commit genocide.
Beifall	Applause
Deswegen brauchen wir über das, was jetzt an Militärischem notwendig geworden ist, eine Weiterentwicklung des Völkerrechts, und wir laden Sie ein, daran mitzuarbeiten.	That is why, over and above the military action that has now become necessary, we need to develop international law further, and we invite you to play your part in doing so.
Die Völker auf dem Balkan werden ihren Frieden nur in einer europäischen Perspektive finden.	The people of the Balkans will only find peace within a European perspective.
Wir begrüßen es, daß Sie die Initiative zu einer Balkankonferenz mit dem Ziel des politischen, ökonomischen und sozialen Wiederaufbaus in dieser geschundenen Region ergriffen haben.	We welcome your initiative in calling for a Balkan conference to discuss political, economic and social reconstruction in this stricken region.
Wir unterstützen ausdrücklich die Vorschläge, die Sie hier und heute vorgetragen haben.	We firmly support the proposals you made here today.
Lassen Sie mich hier auch sagen: Wir danken den Soldaten der Mitgliedstaaten, die sich in der NATO engagiert haben.	Let me also say here: we thank the troops from the Member States committed to NATO.
Wir danken ihnen, daß sie ihr Leben dafür einsetzen, den ethnischen Säuberungen im Kosovo ein Ende zu setzen.	We thank them for risking their lives to put an end to the ethnic cleansing in Kosovo.
Beifall	Applause
Wir danken auch den Männern und Frauen der Nichtregierungsorganisationen, die sich ebenfalls unter großen Opfern dafür einsetzen, die Lage der Flüchtlinge und Deportierten in dieser Region etwas erträglicher zu gestalten.	We also thank the men and women from non-governmental organisations who are endeavouring, again at the price of great sacrifices, to make the situation of the refugees and displaced persons in this region a little more bearable.
Auch ihnen gebührt unser Dank.	They too deserve our thanks.
Beifall	Applause
Herr Präsident des Europäischen Rates, Sie haben die Präsidentschaft in einer der schwierigsten Phasen übernommen, die die Europäische Union bisher durchzustehen hatte.	Mr President-in-Office of the European Council, you took over the presidency during one of the most difficult times the European Union has ever had to go through.
Wir wünschen Ihnen Erfolg, weil das auch unser Erfolg ist, der Erfolg für unsere Europäische Union.	We wish you success, because that is also our success, the success of our European Union.
Für Ihre schwierige Aufgabe, die Sie noch vor sich haben, werden Sie uns, das Europäische Parlament und vor allen Dingen auch meine Fraktion, immer als einen kritischen, manchmal sogar vielleicht sehr kritischen, aber immer verläßlichen Partner haben.	In the difficult task still ahead of you, we, the European Parliament, and in particular my group, will always be a critical, sometimes perhaps even a highly critical, but always a reliable partner.
Vielen Dank!	Many thanks.
Beifall	Applause
