Herr Präsident, sehr geehrter Herr Ratspräsident, sehr geehrte Damen und Herren Abgeordnete!	Mr President, Mr President-in-Office of the Council, honourable Members.
Dabei spielen natürlich die Verwaltungsausgaben der Kommission für das Jahr 2003 eine erhebliche Rolle, weil es das Jahr der Vorbereitung auf die größte Erweiterung der Europäischen Union in ihrer Geschichte ist. Hier muss die Kommission bereits im Jahre 2003 die Vorbereitungen treffen, damit die neuen Mitglieder von Beginn der Erweiterung an zum Beispiel darauf kontrolliert werden können, wie die Umweltgesetze umgesetzt werden, wie die Wettbewerbsregelungen eingehalten werden oder wie die Situation im Bereich des Lebensmittelrechts, im Bereich der Veterinärvorschriften ist, ob hier die Vorschriften der Europäischen Union auch umgesetzt werden.	Obviously, the Commission's administrative expenses for the year 2003 will be very high, because this is the year we shall be preparing for the biggest enlargement in the history of the European Union and the Commission will need to start preparations in 2003 so that we can control new members right from the start. For example, we shall need to control how environmental laws are being transposed, if competition rules are being complied with, what the situation is in the food law sector or the veterinary sector and whether European Union legislation is also being implemented.
Das sind nur Beispiele für die Aufgaben der Kommission.	These are just some examples of the Commission's work.
Es kann natürlich auch nicht angehen, dass wir erst nach der Erweiterung mit den neuen Mitgliedern über die Programme für die Strukturhilfen oder Agrarbeihilfen verhandeln.	Obviously, there is no point in starting to negotiate structural assistance or agricultural aid programmes with new members once they have already joined.
Hier müssen die Vorbereitungen vielleicht schon jetzt getroffen werden, und das braucht Personal.	Preparations need to start now and that takes staff.
Der Rat hat sich selber 236 neue Stellen für die Vorbereitung der Erweiterung genehmigt.	The Council has allowed itself 236 new posts in order to prepare for enlargement.
Bei der Kommission hat er dagegen sogar die Finanzierung jetzt vorhandener Stellen infrage gestellt und gekürzt.	By contrast, it has questioned and reduced the funding of current posts at the Commission.
Das Parlament hat hier ein Modell entworfen, das dann auch in einer Vereinbarung festgehalten wurde.	Parliament drafted a model here which was then enshrined in an agreement.
Nach diesem Modell soll versucht werden, bestimmte Verwaltungsausgaben schon im Jahr 2002 vorzufinanzieren, damit dann im nächsten Jahr Mittel für Personalausgaben der Kommission für die Vorbereitung der Erweiterung zur Verfügung stehen.	This model requires efforts to be made to frontload certain administrative expenses in 2002, so as to have funds available for Commission staff costs in order to prepare for enlargement.
Aber das funktioniert nur, wenn alle Institutionen dieses Modell auch als verpflichtend begreifen.	That only works, however, if all the institutions consider the model binding.
Ich muss deshalb für die Kommission darauf bestehen, dass wir im Oktober Bilanz ziehen, ob dieses Modell der Vorfinanzierung funktioniert oder ob neue Entscheidungen getroffen werden sollen, wenn es nicht funktioniert.	I must therefore insist on the Commission's behalf that we take stock in October in order to ascertain whether this frontloading model is working or, if it is not, whether new decisions need to be taken.
Die Erweiterung soll so vorbereitet werden, dass sie von Anfang an ein Erfolg wird.	Enlargement needs to be prepared so that it works right from the start.
Die Kommission setzt auf das Europäische Parlament, sie vertraut darauf, dass das Europäische Parlament sich nicht allein mit der Entschließung zufrieden gibt, die es im Juli verabschiedet hat, sondern dass es kontrolliert, ob der Rat auch Anstrengungen unternimmt, dieses Modell des frontloading umzusetzen.	The Commission is counting on the European Parliament, it is confident that the European Parliament will not state that it is satisfied with the resolution passed in July alone and will check to ensure the Council is also making an effort to implement this frontloading model.
Ich muss es ganz klar sagen, wir brauchen als Kommission für die Vorbereitung der Erweiterung Personalressourcen.	I repeat, the Commission needs personnel resources in order to prepare for enlargement.
Ansonsten können wir eben nicht garantieren, dass von Anfang an die notwendigen Aufgaben erfüllt werden, damit die Erweiterung ein Erfolg wird.	Otherwise we cannot guarantee that the work needed to make a success of enlargement will be carried out from the start.
Ich danke für Ihre Aufmerksamkeit.	Thank you for your attention.
