Vizepräsident der Kommission. - Frau Präsidentin, meine sehr verehrten Damen und Herren!	Vice-President of the Commission. - Madam President, ladies and gentlemen.
Und dann kommen wir als der europäische Gesetzgeber: Wir haben dafür zu sorgen, dass unsere Gesetzgebung auf dem neuesten Stand ist und mögliche Risiken rechtzeitig erkennt und in der Gesetzgebung erfasst.	And then it is up to us as European legislators. We have to ensure that our legislation is kept up-to-date and possible risks are identified in good time and incorporated into the legislation.
Das ist der Grund, warum die Kommission bereits vor mehr als zwei Jahren damit begonnen hat, die bestehende Spielzeugrichtlinie grundlegend zu überarbeiten.	This is why the Commission began a thorough review of the existing Toy Safety Directive more than two years ago.
Die Spielzeugrichtlinie ist eine der ältesten Richtlinien, die nach dem so genannten neuen Ansatz erfolgt.	The Toy Safety Directive is one of the oldest directives resulting from the 'new approach'.
Es ist offenkundig, dass der Spielzeugmarkt sich in den letzten zwanzig Jahren dramatisch verändert hat, und deshalb wird diese neue Richtlinie eine ganze Menge von neu erkannten Risiken und Gefahren aufgreifen und mit sehr strikten Regeln - zum Beispiel im Hinblick auf die Verwendung von chemischen Stoffen bei Spielzeugen - dafür sorgen, dass Gefahren vermieden werden.	It is clear that the toy market has changed dramatically in the last 20 years and this new directive will therefore pick up on a whole range of recently recognised risks and hazards and will ensure, with very strict rules - on the use of chemical substances in toys, for instance - that dangers are avoided.
Die Richtlinie wird noch vor Ende dieses Jahres dem Gesetzgeber vorgelegt.	The directive will be brought before the legislator by the end of this year.
Wir haben Ihnen außerdem bereits am Anfang dieses Jahres ein ganzes Paket von Maßnahmen zur Verstärkung der Marktüberwachung und zum besseren Schutz des CE-Kennzeichens vorgelegt.	At the beginning of this year, we had already put before you an entire package of measures for strengthening market surveillance for improving protection of the CE marking.
Lassen Sie mich zu dem CE-Kennzeichen an dieser Stelle etwas sagen: Das CE-Kennzeichen besagt, dass der Hersteller - sei es ein europäischer Hersteller oder sei es ein Hersteller außerhalb Europas, der in Europa verkaufen will - die volle Garantie dafür übernimmt, dass sein Produkt den in Europa geltenden Regeln vollständig entspricht.	Let me say something about the CE marking at this point. The CE marking means that the manufacturer (whether a European manufacturer or a manufacturer outside Europe wanting to sell in Europe) provides an absolute guarantee that its product is fully compliant with the rules in force in Europe.
Der Hersteller garantiert das mit dem CE-Zeichen, das bedeutet das CE-Zeichen.	The manufacturer guarantees this with the CE marking. That is what the CE marking means.
In einer ganzen Reihe von Fällen darf der Hersteller das CE-Zeichen nicht aufgrund einer Selbsterklärung und eigenen Prüfung verwenden, sondern er muss es durch eine dritte Stelle zertifizieren lassen, nämlich immer dann, wenn vom fehlerhaften Funktionieren des Produkts eine Gefahr für den Benutzer ausgehen könnte.	In a whole range of cases, the manufacturer is not allowed to use the CE symbol on the basis of a self-declaration and his own proof, but must be certified by a third body, namely whenever there may be a risk to users due to the product not working properly.
Immer dann ist die Zertifizierung durch eine dritte Stelle heute bereits zwingend vorgeschrieben.	Certification by a third body is now mandatory in all such cases.
Das Funktionieren dieser Stellen, die wir Konformitätsbewertungsstellen nennen, kann deutlich verbessert werden, die entsprechenden Vorschläge haben wir gemacht und sie liegen Ihnen als dem europäischen Gesetzgeber vor.	The way these bodies, which we call Conformity Assessment Bodies, operate can be significantly improved. We have put forward the appropriate proposals and they are available to you as the European legislator.
Beim Spielzeug ist jetzt über eine ganz schwierige Frage für die Kommission und für Sie als Gesetzgeber zu entscheiden: Wollen wir bei Spielzeug dazu übergehen, dass jedes einzelne Spielzeug, das auf den Markt kommt, von einer Drittstelle zertifiziert wird, oder wollen wir es dabei belassen, dass die Hersteller mit der Verwendung des CE-Zeichens die Garantie und damit auch die Haftung übernehmen - wobei ich noch hinzufügen muss, dass die Hersteller nach den heute geltenden Regeln jederzeit durch eine umfangreiche Dokumentation nachweisen müssen, dass sie das CE-Zeichen rechtmäßig verwendet haben -, oder wollen wir vielleicht einen dritten Weg gehen, indem wir in der neuen Spielzeugrichtlinie bestimmte Arten von Spielzeug definieren, bei denen wir die Zertifizierung durch eine Drittstelle zwingend vorschreiben?	In relation to toys, a decision now has to be made about a very difficult issue for the Commission and for you as legislator: do we want to move to having each individual toy coming onto the market certified by a third body or do we want to leave it that the manufacturers provide the guarantee by using the CE marking and therefore also assume liability - to which I must also add that the manufacturers have to be able to prove at any time and with full documentation, according to the rules in force today, that they have been using the CE marking lawfully? Or do we perhaps want to take a third way by defining certain types of toy in the new Toy Safety Directive, where we stipulate certification by a third body?
Ich will nicht verschweigen, dass ich für diese letzte Lösung eine große Sympathie habe.	I do not want to hide the fact that I have great sympathy for this latter solution.
Ich will Ihnen ein Beispiel sagen: Was machen wir mit all den Spielzeugen, die Chips enthalten?	I would like to give you an example: what do we do with all the toys containing chips?
Chips sind, wenn Kinder sie in den Mund nehmen, eine gefährliche Sache.	When children put them in their mouths, chips are a dangerous item.
Es muss also sichergestellt sein, dass solche Teile von Spielzeugen unter keinen Umständen zu einer Gefährdung der Kinder führen können.	There must therefore be a guarantee that these toy parts can under no circumstances pose a threat to children.
Wenn wir den Kindern ihren Gameboy nicht wegnehmen wollen - ich glaube nicht, dass irgendjemand die Absicht hat, das zu tun -, dann gibt es wohl nur die einzige Möglichkeit, dass an dieser Stelle die Zertifizierung durch eine Drittstelle zwingend vorgeschrieben wird.	If we do not want to take Game Boys away from children - I do not believe that anyone intends to do this - the only possibility would then be to make certification by a third body mandatory at this point.
In diese Richtung gehen die Überlegungen, die die Kommission anstellt, und ich erhoffe mir von dieser Debatte auch einen gewissen Eindruck davon, wie das Parlament in dieser Frage denkt.	The Commission's ideas are along these lines and I also expect to get some impression from this debate of Parliament's thinking on this issue.
Der letzte Punkt, den ich anführen möchte, ist eine Bitte an die Hersteller und an die Verbraucherorganisationen: Die Hersteller müssen sich der Tatsache bewusst sein, dass auch ein noch so großer Kostendruck sie nicht von der Verantwortung befreit, jeden einzelnen Teil ihres Produktionsprozesses und ihrer Lieferkette vollständig zu kontrollieren.	The final point I would like to mention is a request to manufacturers and consumer organisations. Manufacturers need to be aware of the fact that the pressure of costs, as great as it still is, does not absolve them of the responsibility for a full inspection of every individual part of their production process and their supply chain.
Je internationaler Produktions- und Lieferketten werden, desto größer die Verantwortung der Unternehmen, die sich auf dem Markt betätigen.	The more international production and supply chains become, the greater the responsibility of companies active on the market.
Des Weiteren würden die Verbraucherorganisationen eine große Tat vollbringen, wenn sie das Bewusstsein dafür erzeugten, dass billig nicht immer gleich gut ist.	Furthermore, consumer organisations would accomplish a great feat if they were to create an awareness that cheap is not always the same as good.
Das ist nicht nur eine Frage der Sicherheit, sondern auch eine Frage der Qualität, denn wie oft haben Sie es schon erlebt - gerade auch bei Spielzeugen, die das Kind unter dem Weihnachtsbaum auspackt -, dass das Kind einmal damit spielt und schon ist es kaputt.	This is not just a question of safety, but also one of quality, because how often have you seen - even with toys the child opens under the Christmas tree - how a child plays with it just once before it is broken.
Es war zwar billig, aber nicht gut!	It might have been cheap, but it was not good!
Billig bedeutet nicht immer gut und billig bedeutet auch nicht immer sicher.	Cheap does not always mean good, nor does cheap always mean safe.
Das heißt, es muss dem Verbraucher bewusst sein, dass der Preis eines Produkts in einer bestimmten Beziehung zur Qualität und zur Sicherheit des Produkts steht.	This means the consumer needs to be aware that the price of a product has a direct bearing on the quality and safety of a product.
Und das ist bei der Billigpreisideologie, die sich zumindest in einigen Mitgliedstaaten ausbreitet, ein Thema, das mir zunehmend Sorge bereitet.	In relation to the low-price ideology, which is spreading in at least some Member States, this is a subject that gives me increasing cause for concern.
Ich kann zusammenfassend sagen, dass das heutige europäische Recht auf jeden Fall besser ist als das, was wir in anderen Teilen der Welt kennen, dass es verbessert werden kann und verbessert werden wird, und dass da, wo es um Spielzeuge geht, allerstrengste Maßstäbe angelegt werden und angelegt werden müssen.	I can say in conclusion that European law today is in any case better than what we see in other parts of the world, that it can be improved and is being improved and that wherever toys are involved, the strictest standards of all are being applied and must be applied.
