Frau Präsidentin, Frau Ratspräsidentin, Herr Kommissionspräsident, liebe Kolleginnen und Kollegen!	Madam President, Madam President-in-Office, Mr President of the Commission, ladies and gentlemen.
Wenn Sie für Offenheit und Transparenz sind und es zwei, drei Regierungen gibt, die nicht dafür sind, nennen Sie diese Regierungen in der Öffentlichkeit, damit sie begründen müssen, warum sie dem nicht zustimmen!	But if you are in favour of openness and transparency and two or three governments voice their opposition, name them openly so that they are forced to justify their opposition.
(Beifall)	(Applause)
Der amerikanische Präsident George Bush wird in Göteborg dabei sein.	The American president, George Bush, will be in Gothenburg.
Unsere Fraktion ist eine Fraktion, die die Partnerschaft und Freundschaft mit Amerika schätzt.	Our group values partnership and friendship with America.
Wir begrüßen den amerikanischen Präsidenten und heißen ihn in Europa willkommen.	We greet the American president and welcome him to Europe.
Aber viele gemeinsame Interessen bedeuten nicht, dass wir nicht auch in manchen Dingen unterschiedlicher Meinung sind.	But having numerous common interests does not mean that we do not have differing views on several counts.
Ich ermutige Sie, Frau Ratspräsidentin, wie natürlich auch den Kommissionspräsidenten, in angemessener, aber entschiedener Weise auch zum Ausdruck zu bringen, dass wir, die Europäer, wollen, dass das Protokoll von Kyoto und die Reduzierung des Schadstoffausstoßes ein Erfolg werden.	I urge you, Madam President-in-Office, and of course you too, Mr President of the Commission, to state in a measured but decisive manner that we Europeans want the Kyoto protocol and the reduction of emissions to be a success.
Wir ermutigen Sie, diese Position deutlich zu vertreten.	We urge you to represent this position clearly.
(Unruhe, Zwischenruf)	(Noise, heckling)
Aber ich sage - ein Kollege ist ja dafür berühmt, dass er immer dazwischen ruft; ich nehme das hier gerne auf -, wir erwarten natürlich auch Solidarität unter den Europäern, und ich bin stolz darauf, dass gerade diejenigen unserer Fraktion, die Regierungen, die zu uns gehören, morgen und übermorgen in Göteborg eindeutig die europäische Solidarität bekunden werden.	But I also say - one fellow member is famous for his heckling and I accept it gladly - that we do of course expect solidarity between Europeans and I am proud of the fact that it is our group, the governments which belong to us, which will be clearly expressing European solidarity in Gothenburg tomorrow and the day after tomorrow.
(Beifall) Wäre es anders, wir würden unsere Stimme erheben!	(Applause) Were it any other way, you would hear our voice.
Aber einen Satz möchte ich noch hinzufügen, wenn Sie gestatten, Frau Präsidentin.	But, with your leave, Madam President, one last word.
In einem hat der amerikanische Präsident Recht, wenn es um die Reduzierung des Schadstoffausstoßes geht.	The American president is right on one count when it comes to reducing emissions.
Man kann die Nuklearenergie, wenn sie sicher ist, aus einem vernünftigen Energiemix nicht ausschließen.	If nuclear energy is safe, it cannot be excluded from a reasonable energy mix.
Deswegen hat er in dem Punkt Recht.	That is why he is right on this count.
Wir sind dagegen, die Nuklearenergie, die friedliche Nutzung der Kernenergie generell aus ideologischen Gründen zu diffamieren, wie es große Teile der Sozialisten und andere, auch in diesem Hause, tun.	We do not think that nuclear energy, the peaceful use of nuclear energy, should be universally disparaged on ideological grounds, unlike numerous Socialist and other members.
(Beifall)	(Applause)
Lassen Sie mich abschließend noch sagen: Die Entwicklung in der ehemaligen jugoslawischen Republik Mazedonien ist das, was uns jetzt am meisten berührt.	Allow me to close by saying that it is developments in the Former Yugoslav Republic of Macedonia which concern us most at present.
Frau Ratspräsidentin, ich möchte Sie ermutigen, wie bisher zusammen mit Herrn Solana und Herrn Patten Ihre Bemühungen fortzusetzen, damit wir dort zu einer friedlichen Entwicklung kommen.	Madam President-in-Office, I urge you to continue your efforts, as you have in the past with Mr Solana and Mr Patten, to bring about a peaceful solution.
Denn wenn wir dort scheitern - und die Absage des heutigen Besuches des Präsidenten von Mazedonien, der ehemaligen jugoslawischen Republik Mazedonien, ist ein Alarmsignal!	We cannot afford to fail here, and the fact that today's visit by the president of Macedonia, of the Former Yugoslav Republic of Macedonia has been called off should set the alarm bells ringing here.
Ich möchte Sie ermutigen, Ihre Friedensbemühungen fortzusetzen; denn wenn wir dort Erfolg haben, dann ist das ein Erfolg der Europäischen Union insgesamt und für den Aufbau eines friedlichen und freien Europas.	I urge you to continue in your efforts to bring about peace, because if we are successful here, it will be a success for the European Union as a whole and a contribution towards a peaceful, free Europe.
Dazu möchte ich Sie ausdrücklich ermutigen!	Please help to bring it about.
(Beifall)	(Applause)
