Als erstes möchte ich Herrn Perry zu seinem ausgezeichneten Bericht beglückwünschen.	First of all I should like to congratulate Mr Perry on his excellent report.
Wir sind nicht der Oberste Gerichtshof.	We are not the Supreme Court.
Ein Problem, mit dem wir seit jeher zu kämpfen haben, ist das Problem der Zeit.	One problem that we still have to overcome is the problem of time.
Die Petenten müssen zu lange auf Antwort oder gar auf die Lösung ihres Problems warten.	Petitioners have to wait too long for a reply, or for the solution to their problem.
Es dauert, bis eine Petition nach Posteingang zusammengefaßt, vorab auf ihre Zulässigkeit geprüft, und dann noch in elf Sprachen übersetzt worden ist.	It takes some time, after a petition is first received by post, for it to be summarized, checked in advance to see whether it is admissible or not, and then translated into eleven languages.
Nach dem Beschluß des Ausschusses über die Empfehlung beginnt dann erst die eigentliche Arbeit.	Once the Committee has decided on a recommendation, then the real work begins.
Die Kommission hat inzwischen dankenswerterweise unsere Forderung erfüllt und versucht, die Petitionen sehr schnell zu behandeln. Wo es immer noch hakt, das ist bei den Mitgliedstaaten bzw. beim Rat.	The Commission, thank goodness, has finally complied with our request and is trying to process petitions very rapidly, but they are still being held up at the level of the Member States and the Council.
Sie arbeiten nur sehr langsam, vor allem wenn es sich um eine Verletzung des Gemeinschaftsrechts handelt.	They operate very slowly, particularly when an infringement of Community law is involved.
Die Bereitstellung von Informationen ist ungenügend, d.h. meist unvollständig und eben zu langsam.	Insufficient information is made available; in other words, in most cases it is incomplete, and it is also too slow.
Unsere Forderung heißt, Information und Antwort aus den Mitgliedstaaten müssen präziser und schneller kommen.	We are asking for more precise and more rapid information and replies from Member States.
Wir brauchen fest vereinbarte Fristen. Dabei könnten allen Beteiligten der Ausbau und die Koordinierung der elektronischen Datenverarbeitungssysteme weiterhelfen.	We need firmly agreed deadlines, and all those people who are involved in the expansion and coordination of the electronic data-processing system could help here.
Da der Petitionsausschuß ja seit 1992 öffentlich tagt und die Petenten immer gefragt werden, ob sie ihre Petition öffentlich behandelt haben wollen, dürfte dies auch beim Datenschutz keine Schwierigkeiten machen.	Because, since 1992, the Committee on Petitions has been meeting in public, and because the petitioners are always asked whether they want their petitions to be handled in public or not, this should not cause any difficulties with data protection either.
Die Teilnahme und Anhörung von Petenten im Ausschuß wird manchmal dringend gewünscht, und wir versuchen, das gerecht zu realisieren.	The participation and hearing of petitioners by the Committee is often desirable as a matter of urgency, and we try to be fair in arranging for this to be done.
So auch bei der Petition zum Braunkohle-Tageabbau in Garzweiler. Weil uns als Ausschuß die Information der Petenten unvollständig erschien, haben wir beschlossen, eine fact finding mission dorthin zu schicken.	For example, on the petition about opencast lignite mining in Garzweiler, because we as a committee thought that the information provided by the petitioners was insufficient, we decided to send a fact-finding mission there.
Das wird jetzt nächste Woche geschehen.	The visit will be taking place next week.
Leider geschieht unsere Arbeit noch viel zu stark im Verborgenen.	Unfortunately too much of our work still goes on out of the public eye.
Viele Initiativen anderer Ausschüsse, aber auch Gesetzesinitiativen der Kommission stehen in engem Zusammenhang mit den von dem Ausschuß behandelten Petitionen. Denn es werden immer wieder Lücken und Mängel bei europäischen Richtlinien und Rechtsvorschriften aufgedeckt.	Many of the initiatives of the other committees, and legislative initiatives by the Commission, too, are closely linked to the petitions dealt with by the Committee, because people are constantly discovering defects and deficiencies in European Directives and statutory provisions.
Unsere Forderung heißt denn auch, daß die Dienststellen des Parlaments über das Petitionsrecht besser und intensiver informieren.	So we are also requesting that the European Parliament's offices should be better informed about the right of petition.
Die Öffentlichkeit sollte aber auch über die geprüften Petitionen und vor allem über die Petitionen, für die eine Lösung gefunden wurde, informiert werden.	The public should be informed about the petitions that are being examined, and above all about the petitions for which solutions have been found.
Nur so können wir die Verbindung als gewählte Vertreterinnen und Vertreter der EU-Bürgerinnen und Bürger enger gestalten und die viel beschworene Bürgernähe praktizieren.	Only in this way can we, as elected representatives of EU citizens, establish a closer link with them and put into practice our oft-quoted desire to be 'close to the people' .
