, Berichterstatter.	, rapporteur.
Aber für mich existieren die Luxemburg- und Helsinkigruppen nicht mehr, sondern jedes Land hat nach dem Regattaprinzip die Chance, sehr schnell Mitglied der Europäischen Union zu werden, wenn es die Voraussetzungen für die Mitgliedschaft der Europäischen Union erfüllt.	But for me the Luxembourg and Helsinki groups no longer exist; instead, each country has the opportunity - in accordance with the catch-up principle - of becoming a Member of the European Union very quickly, if it fulfils the requirements for membership of the European Union.
Deswegen ist es auch falsch, zum gegenwärtigen Zeitpunkt Ländernamen zu nennen, die aus heutiger Sicht in der Lage sind, die Voraussetzungen zu erfüllen, denn aus innenpolitischen Gründen kann ein Land, das heute einen guten Stand hat, im nächsten Jahr wieder zurückfallen, oder umgekehrt.	That is why it is also wrong at the present time to mention the names of countries which look today as though they are in a position to fulfil the requirements, because for internal political reasons a country which is in a good position today might fall back again next year, or vice versa.
Aus diesem Grunde muss klar sein, dass die volle Erfüllung der Kopenhagener Kriterien das einzig Wesentliche ist.	For this reason, it must be clear that full satisfaction of the Copenhagen criteria is the only essential point.
Deswegen möchte ich Ihnen auch vorschlagen, dass wir als Parlament im nächsten Jahr gar keinen Generalbericht mehr vorlegen, sondern nur noch Länderberichte, um deutlich zu machen, dass wir für einen differenzierten Fortgang der Verhandlungen sorgen.	That is why I should like to propose to you that from next year we in Parliament no longer present a general report at all but only country reports, to make it clear that we wish to see the negotiations proceed at differentiated paces.
Es gibt einen Antrag der Sozialdemokratischen Fraktion, deutlich zu machen, dass die Europäische Union Anfang 2003 erweiterungsfähig ist.	An amendment is proposed by the Socialist Group to make it clear that the European Union will be capable of enlargement at the beginning of 2003.
Ich finde, dass dies ein guter Antrag ist, den es zu unterstützen gilt, und genauso gut finde ich den Antrag der Europäischen Volkspartei, dass sich die ersten Länder möglichst an den Wahlen zum Europäischen Parlament im Jahre 2004 beteiligen können.	I think that this is a good proposal which should be supported, and an equally good proposal is that from the European People's Party stating that if possible the first countries should be able to participate in the European Parliament elections in 2004.
Ich glaube, wenn wir diese beiden Daten im Zusammenhang sehen, bieten wir den Menschen dort eine Perspektive an.	I believe that if we take these two dates together then we are giving the people there something to aim for.
Ich bin überzeugt, dass einige Länder in der Lage sein werden, sich innerhalb dieses Zeitraums ausreichend vorzubereiten.	I am convinced that some countries will be in a position to prepare themselves adequately within that time.
Wenn ich mir vor Augen halte, dass wir uns jetzt schon im elften Jahr nach der Revolution in Mittel- und Osteuropa befinden, dann müssen wir diesen Menschen auch die Perspektive geben, dass der Umstellungsprozess irgendwann einmal positiv ist.	When I consider that it is already eleven years since the revolution in central and eastern Europe then we must also give these people the prospect of the process of change bearing fruit at some point.
Wir müssen unser Wort: "Wenn ihr die Diktatur abschüttelt, ist Europa auch für euch offen " auch ernst meinen, und nicht immer neue Gründe, Hürden und Schwierigkeiten finden, um den Vereinigungsprozess zu verzögern.	We said: "If you throw off the yoke of dictatorship then Europe's doors also stand open for you." We must also take this seriously and not be forever finding new hurdles and difficulties, or new reasons to delay the unification process.
Ich meine also, den Menschen eine Perspektive zu geben, ist eine wesentliche Voraussetzung, um auch in diesen Ländern die dauerhafte Kraft zu entwickeln, den politischen und ökonomischen Reformprozess im notwendigen Umfang durchzusetzen.	I think therefore that holding out the prospect of accession to the people is essential, so as to encourage these countries to develop the enduring strength to push through political and economic reforms of the necessary magnitude.
So wie wir aber die innere Reform innerhalb der Europäischen Union in Nizza zu diskutieren und zu lösen haben, werden wir sicherlich auch nicht davon ablassen können, über die Grenzen Europas zu diskutieren.	Although we need to discuss and resolve the issues relating to internal reform within the European Union in Nice, we will certainly not be able to avoid discussing Europe's borders either.
Wir verhandeln jetzt mit den zwölf Ländern.	We are now negotiating with 12 countries.
Für alle anderen Länder sollten wir auch ein Angebot unterbreiten, dass nicht nur die Vollmitgliedschaft vom ersten Augenblick an die einzige Chance der Anbindung an die Europäische Union ist, sondern dass wir auch andere Arten von Angeboten - vergleichbar dem Europäischen Wirtschaftsraum in der Vergangenheit - für wirtschaftliche und sicherheitspolitische Fragen unterbreiten müssen.	We should also make offers to all the other countries. To make it clear that full membership is not the only possible way of being linked to the European Union at the outset, we also need to offer other kinds of cooperation - comparable to the European Economic Area in the past - covering economic and security policy issues.
Wir sollten ein solches Angebot machen.	We should make offers of this kind.
Ein Land wie die Ukraine kann heute nicht Mitglied der Europäischen Union werden, und vielleicht auch in Zukunft nicht, aber dieses Land ist so ungeheuer wichtig für die europäische Entwicklung, dass wir dafür Angebote entwickeln müssen, wie für viele andere Länder auch.	A country such as Ukraine cannot become a Member of the European Union today and perhaps not in the future either, but this country is so tremendously important for European development that we need to make sure that there is something on offer for it, as well as for many other countries.
Das heißt, die Vollmitgliedschaft sollte auf Dauer nicht das einzige Angebot für die Zusammenarbeit mit der Europäischen Union sein.	What I mean to say is that full membership should not remain the only means available for cooperating with the European Union.
All dieses, worüber ich bisher geredet habe, werden wir auf Dauer nur durchsetzen können, wenn in den Beitrittskandidatenländern sowie auch in der Europäischen Union die Politik und die Eliten - und in diesem begrenzten Zusammenhang gebe ich Ihnen recht, Herr Kommissar - endlich dafür werben, dass die Erweiterung der Europäischen Union für sie selbst von Nutzen ist.	We will only be able to achieve all the objectives which I have mentioned so far if politicians and the elite both in the applicant countries and in the European Union - and in this limited context I agree with you, Commissioner - finally advertise the fact that the enlargement of the European Union is actually of benefit to Europe itself too.
Was an Stabilität politischer, wirtschaftlicher, sicherheitspolitischer Art mit der Erweiterung der Europäischen Union verbunden ist, brauche ich wohl nicht zu erwähnen.	The political, economic and security policy stability which the enlargement of the European Union will bring is something which I certainly do not need to mention.
Wir sind in der Lage, über eine solche europäische Einheit eine Stabilitätszone zu organisieren, mit einem so soliden Fundament, wie es sonst in der Geschichte kaum möglich war, und wir sehen, dass durch unsere Hilfen Entwicklungsmöglichkeiten bei den Beitrittskandidaten entstehen, um den Reformprozess finanzieren zu können.	European unity of this kind puts us in a position to create a zone of stability with a foundation so solid that it would have been barely possible at any other time in history, and we see that our aid is creating development opportunities in the accession countries which are enabling us to fund the reform process.
Auf der anderen Seite, man wagt es kaum zu sagen, haben wir in den letzten Jahren einen höheren Handelsbilanzüberschuss mit den Beitrittskandidaten gehabt, als wir diesen Ländern an öffentlichen Hilfen gewährt haben.	On the other hand - and people hardly dare to say this - in recent years our balance of trade surplus with the accession countries has been greater than the public aid which we have granted these countries.
Wir sind Nutznießer der Erweiterung der Europäischen Union und sollten nicht immer nur von den Kosten reden, um den Menschen Angst zu machen.	We are beneficiaries of the enlargement of the European Union and should not always frighten people by only talking about cost.
Wir sollten es einmal mit der Wahrheit versuchen!	For once we should try telling the truth!
(Beifall) Ich darf diesen Bericht am 10. Jahrestag der deutschen Einheit vorstellen.	(Applause) It is my privilege to be presenting this report on the tenth anniversary of German reunification.
Diese deutsche Einheit ist nur möglich geworden, weil über die europäische Einigung Vertrauen gewonnen wurde.	This German unity only became possible because trust had been built up through the unification of Europe.
Aber ich meine, dass wir nun auch deutlich machen müssen, dass wir nun vor der Vereinigung des gesamten Europa stehen.	But I think that we also need to make it clear that we are now on the verge of seeing the unification of the whole of Europe.
Denn was wir bisher Europäische Union nennen, umfasst nur einen kleinen Teil dieses Kontinents.	Because what we have called the European Union up until now only encompasses a small part of this continent.
Wir haben die Möglichkeit, eine neue Ordnung zu schaffen, in der niemand seine Identität verliert, in der die Verschiedenheit der Völker ihren Reichtum ausmacht.	We have the opportunity to create a new order in which no one loses their identity and whose wealth is derived from the diversity of its people.
Wir werden auch in der Lage sein, eine Ordnung zu gestalten, in der Krieg zwischen uns unmöglich wird, in der sich die Völker menschlich finden können und in der wir zusammen unsere Kräfte bündeln können, um unsere Interessen in der Welt wahrzunehmen, d.h. für unsere gemeinsamen Interessen als Europäer in dieser Welt zu streiten.	We will also be able to fashion an order in which war between us becomes impossible, in which people are able to discover each other in their common humanity and in which we can combine our strengths to represent our interests in the world, that is to fight for our common cause as Europeans in the world.
Ich hoffe, dass wir die innere Kraft haben, die Kleinigkeiten dabei zu vergessen und das große Ziel zu verwirklichen.	I hope that we have the inner strength to forget the trivialities and to achieve the overall objective.
Ich darf sie um Ihre Unterstützung für diesen Bericht bitten!	I would ask you to support this report.
(Beifall)	(Applause)
