. Herr Präsident, meine sehr verehrten Damen und Herren!	.
Es erklärt sich einfach dadurch, dass ein Großteil von Problemen nur in Polen existiert, weil die anderen Länder aufgrund ihrer Größe bestimmte Probleme gar nicht haben.	The simple explanation is that a large part of the problems are present only in Poland, as the size of the other countries means that certain of the problems are not found in them.
Ich denke, dass das Ergebnis insgesamt sehr ausgewogen ist.	I regard the overall outcome as very balanced.
Es betrifft auch nur noch einige wenige Kapitel des und unsere Einschätzung ist die, dass überall die Probleme noch vor dem 1. Mai 2004 gelöst werden können.	It relates to only a few chapters of the and we estimate that the problems will be able to be resolved everywhere even before 1 May 2004.
Wenn nicht – und das ist jetzt der entscheidende Punkt – wird die Kommission rechtzeitig vor dem 1. Mai die notwendigen Maßnahmen ergreifen, und wir haben eine ganze Palette von Möglichkeiten.	If they are not – and it is this point that is crucial – then the Commission will, in good time before 1 May, take the necessary actions, and we have a whole range of options to choose from.
Wir können die Sicherheitsmaßnahmen anwenden, die sowieso im Vertrag bereits enthalten sind.	We can apply the safety measures that are in any case already contained in the Treaty.
Wir können die spezifischen Sicherheitsmaßnahmen anwenden, die der Beitrittsvertrag vorsieht, wir können normale Vertragsverletzungsverfahren anwenden, wir können verwaltungsmäßige Eingriffe vornehmen.	We can apply the specific safety measures provided for in the Treaty of Accession; we can institute normal infringement proceedings; we can make use of administrative interventions.
Wir haben also eine breite Palette, und wir haben uns heute in der Kommission darauf verständigt, dass jedes Mitglied der Kommission in seinem Verantwortungsbereich darüber wacht, dass diese noch offenen Fragen weiter behandelt werden und gegebenenfalls rechtzeitig vor dem 1. Mai die notwendigen Maßnahmen vorschlägt.	We have, then, a wide range of options, and agreement has today been reached within the Commission that each Commissioner, within his or her own area of responsibility, shall oversee the ongoing handling of these still unresolved issues and shall, if necessary, propose the necessary measures in good time before 1 May.
Ich selber rechne nicht damit, dass es notwendig werden wird, weil es in den meisten Fällen so ist, dass die Probleme, falls sie nicht gelöst werden, negative Folgen nur für die neuen Mitgliedsländer haben, aber nicht für die Gemeinschaft als solche.	Speaking for myself, I do not expect this to be necessary, as, in most instances, the adverse consequences resulting from these problems being left unresolved would not affect the Community as such, but only the new Member States themselves.
Es gab z. B. die Frage: Sind die Strukturen da, um die Zahlungen im Bereich der Landwirtschaft vollständig durchführen zu können?	For example, the question was raised of whether the structures were in place to enable agricultural support grants to be paid in full.
Wenn die Verwaltungsstrukturen dazu nicht ausreichen, ist das Ergebnis, dass das Geld nicht fließt, d. h. die Regierung, die sich ein solches Versäumnis zuschulden kommen lässt, gerät zu Hause unter erheblichen Druck, weil ihre Bauern keine Direktzahlungen bekommen.	If administrative structures are inadequate for this purpose, the result will be that the money will not flow, which means that the government that makes itself guilty of such negligence will end up under considerable domestic pressure, because their farmers are not getting their direct support payments.
Deshalb ist meine Prognose die, dass alle diese Fälle selbstverständlich vor dem 1. Mai 2004 geregelt werden.	I therefore predict that all these cases will be resolved as a matter of course before 1 May 2004.
Ich weiß, dass der Bereich der Lebensmittelsicherheit auch hier in diesem Hause mit besonderer Aufmerksamkeit betrachtet wird, und darum sage ich Ihnen, auch in diesem Bereich gibt es noch einige Probleme, und wir bleiben dabei, dass keinerlei Lebensmittel, die unseren Standards – d. h. Hygienevorschriften – nicht entsprechen, auf den Binnenmarkt kommen dürfen.	Knowing that this House pays particular attention to the area of food safety, I can tell you that there are still a number of problems in this area too, and our position remains unchanged, namely that no food not conforming to our standards – by which I mean our hygiene rules – must be allowed onto the internal market.
Deshalb werden in Bezug auf Lebensmittelsicherheit die notwendigen Maßnahmen spätestens im Februar getroffen werden, um sicherzustellen, dass keine Produkte auf den Binnenmarkt kommen, die den Standards nicht entsprechen.	For that reason, the necessary measures relating to food safety will be taken by February at the latest in order to ensure that no products not complying with the standards get onto the internal market.
Die Zahl ist allerdings relativ gering – und man sollte jetzt nicht etwa glauben, dass, wenn einige Betriebe in einigen Ländern die Standards nicht erreichen, das Land insgesamt auf diesem Gebiet eine schlechte Leistung gezeigt hat.	There are, however, relatively few of them, and people must not get the idea that a country has performed badly in a particular area just because a few firms in a few countries fail to reach the standards.
Wenn ich das zusammenfasse, kommen wir zu dem Ergebnis, dass Institutionen und Politiken nach dem 1. Mai 2004 weiter funktionieren werden, dass nennenswerte Störungen nicht zu erwarten sind und dass Probleme, die man selbstverständlich nicht vollständig ausschließen kann, in jeder Hinsicht beherrschbar sind.	To sum up, then, we come to the conclusion that institutions and policies will continue to function after 1 May 2004, that no appreciable disruptions are to be expected and that, while the possibility of problems cannot of course be excluded, they will be manageable in every respect.
Es ist also ein gutes Ergebnis.	All this, then, adds up to a good outcome.
Die Kommission hat das auch ausdrücklich gewürdigt und Präsident Prodi hat ja gerade die besondere Leistung der Regierungen, der Parlamente und der Völker dieser Länder hervorgehoben, und ich schließe mich dem uneingeschränkt an.	I unreservedly endorse, and associate myself with, the Commission’s expressions of appreciation for that and President Prodi’s recent underlining of the especial achievements of these countries’ governments, parliaments and peoples.
Lassen Sie mich damit zu Bulgarien, Rumänien und der Türkei kommen.	With which, let me turn to Bulgaria, Romania and Turkey.
Ich kann mich relativ kurz fassen.	I can keep this relatively brief.
Was Bulgarien und Rumänien angeht, so haben beide Länder bemerkenswerte Fortschritte gemacht.	Both Bulgaria and Romania have made remarkable progress.
Bei Bulgarien möchte ich insbesondere hervorheben, dass es nun endlich gelungen ist, auch die Justizreform voranzubringen. Das war ein wesentliches Problem bei der Beurteilung Bulgariens.	I would in particular like to stress that Bulgaria has now at last managed to promote reform of the judicial system, which had been a major problem in assessing it.
Im Falle Rumäniens möchte ich hervorheben, dass Rumänien eine Aufwertung in Bezug auf das Kriterium Marktwirtschaft erfahren hat.	I would like to highlight the more positive valuation given to Romania in terms of the market economy criterion.
Die Kommission sagt nun, dass Rumänien als eine Marktwirtschaft betrachtet werden kann, sofern der Reformprozess unverändert weitergeht, was wir unterstellen.	The Commission is now stating that Romania can be regarded as a market economy, provided that the reform process continues without change, which we assume it will.
Das heißt also, damit wird gewürdigt, dass Rumänien bereits wirklich bedeutende wirtschaftliche Reformen erreicht hat und makroökonomisch eine bemerkenswerte Stabilität zeigt.	This amounts to an appreciation of the significant economic reforms that Romania has already achieved and of the remarkable macroeconomic stability that it manifests.
Zum weiteren Vorgehen in Bezug auf Rumänien und Bulgarien rät die Kommission davon ab, die Prozesse voneinander abzukoppeln.	Turning to how we take matters further in relation to Romania and Bulgaria, the Commission counsels against decoupling these processes from each other.
Wir halten an dem Ziel fest, beide Länder im Jahre 2007 gemeinsam in die Europäische Union zu führen. Allerdings bleibt der Grundsatz, dass kein Land auf ein anderes warten muss, bestehen.	We are sticking to the target of bringing both countries, together, into the European Union in 2007, although the principle still holds that no country should have to wait for another.
Wenn sich also während des weiteren Prozesses herausstellen sollte, dass der Fortschritt unterschiedlich schnell ist, wird man auch zu unterschiedlichen Zeiten die Verhandlungen abschließen können.	If, then, it turns out in the course of the ongoing process that they are progressing at different speeds, we will also be able to conclude the negotiations on different dates.
Beide Länder möchten sehr gerne die Verhandlungen noch während der Amtszeit der jetzigen Kommission abschließen. Das können wir als eine Art Kompliment betrachten.	Although we can regard it as a sort of compliment that both countries are very keen to complete negotiations before the present Commission leaves office, we are very cautious when it comes to making a statement about this.
Gleichwohl sind wir sehr vorsichtig, diesbezüglich eine Aussage zu machen. Ich wäre auch dankbar, wenn das Parlament uns darin folgen könnte, jetzt keine Daten festzulegen, sondern sich darauf zu beschränken zu sagen: Das Beitrittsdatum 2007 wird bestätigt.	I would also appreciate it if Parliament could follow us in not, at the present moment, specifying any dates, but could limit itself to confirming 2007 as the accession date.
Dazu ist es notwendig, den Beitrittsvertrag vor Ende 2005 abzuschließen.	For that to be the case, work on the accession treaty needs to be completed before the end of 2005.
Das gibt uns ein Zeitfenster für den Abschluss der Verhandlungen zwischen jetzt und etwa dem Sommer 2005. Sie können dann abgeschlossen werden, wenn ein Land tatsächlich fertig ist.	That means that the time window for completing the negotiations is between now and somewhere around the summer of 2005, when, if the country in question really has done everything, it will be possible to conclude them.
Insgesamt betrachte ich das Bild als positiv.	As a whole, I regard this picture as a favourable one.
Ich möchte aber ausdrücklich diese beiden Länder noch einmal ermuntern, sich deutlich um eine bessere politische und wirtschaftliche zu bemühen. Das betrifft insbesondere die Korruption und die Bekämpfung von Wirtschaftskriminalität.	I want, though, to again strongly encourage these countries to make determined efforts towards improving political and economic governance; I am referring particularly to corruption and to the fight against economic crime.
Das ist auch wichtig für das Investitionsklima in beiden Ländern und für ihre Attraktivität als Investitionsstandort.	This is also important in terms of the investment climate in both countries and of making them attractive to investors.
Bei der Türkei haben wir uns bemüht, nichts zu präjudizieren, und man kann jetzt darüber spekulieren, ob der Bericht, den die Kommission heute vorgelegt hat, eine Aussage über die Entscheidung enthält, die im nächsten Jahr zu treffen ist, oder nicht.	We have tried hard not to prejudge anything where Turkey is concerned, and it can be speculated whether or not the report that the Commission has presented today makes a statement about the decision that is to be taken next year.
Wir haben uns strikt bemüht, das nicht zu tun, sondern die Türkei fair und objektiv zu behandeln, und das bedeutet, dass bestätigt und anerkannt werden muss, dass Tempo und Qualität des Reformprozesses im politischen und im wirtschaftlichen Bereich in bemerkenswerter Weise zugenommen haben.	We have tried hard not to do that, but, instead, to give Turkey fair and objective treatment, and that means that we have to attest and acknowledge the remarkable fact that reforms have been better implemented, and at increasing speed, in both the political and economic spheres.
Es bedeutet aber auch, dass man wahrheitsgemäß darauf hinweisen muss, dass sehr vieles noch nicht unseren Standards und unseren Forderungen entspricht, und dieses Dinge müssen ausgesprochen werden.	It also means, though, that we have to tell the truth and say that a very great deal still does not meet our standards or conform to our requirements, and that these things have to be addressed.
Es hat keinen Sinn, irgend etwas zu verschweigen.	It makes no sense to keep any of this quiet.
Ich habe gemerkt, dass die Türkei etwas überrascht reagiert hat: Eine Folge der bedauerlichen – ich muss das auch aus meiner Sicht sagen –, absolut bedauerlichen Indiskretion ist es ja, dass ich die Reaktionen aus den Kandidatenländern schon kenne, bevor die Berichte überhaupt verabschiedet sind, und die türkische Reaktion ist eher erstaunt.	I noticed that Turkey reacted with a degree of surprise, for one of the consequences of the leak – which is regrettable and, from my point of view, absolutely so – is that I know the candidate countries’ reactions even before the reports are adopted, and the Turkish reaction tends towards astonishment.
Sie hatten wohl mit einer deutlich positiveren Einschätzung gerechnet.	No doubt they had reckoned on a rather more favourable assessment.
Deshalb will ich noch einmal sehr deutlich sagen: Wir erkennen voll und ganz an, was in der Türkei auf den Weg gebracht worden ist, wir müssen die Türkei aber darauf hinweisen, dass in einigen, die Grundrechte betreffenden Fragen noch Probleme bestehen, dass noch Probleme bei der Übernahme der Urteile des Menschenrechtsgerichtshofs bestehen und dass wir insbesondere große Probleme bei der Realisierung der bereits beschlossenen Reformen sehen.	So I want to reiterate very clearly that, although we entirely acknowledge what has been achieved in Turkey, we have to point out to the Turks that there are still problems with a number of issues to do with fundamental rights, that Turkey’s willingness to be bound by the rulings of the Court of Human Rights is still problematic, and that there are, in particular, major problems when it comes to implementing the reforms that have already been decided on.
Hier gibt es ein beachtliches Implementierungsdefizit, das die Regierung auch erkannt hat und gegen das sie etwas tun will.	There is a considerable implementation deficit here, and the government recognises this and wants to do something about it.
Präsident Prodi hatte eben bereits auf das Zypern-Problem hingewiesen.	President Prodi has just made reference to the problem of Cyprus.
Ich muss das auch noch einmal tun, weil ich Sie darüber informieren möchte, dass die Kommission heute einen Schritt getan hat, der neu ist und möglicherweise auch zu Kontroversen führt.	I must, again, do likewise, because I want to inform you that the Commission has today taken a new step, one that is new and may well lead to controversy.
Wir haben in unserem Strategiepapier eine Verbindung zwischen den türkischen Beitrittswünschen und der Zypern-Frage hergestellt.	In our strategy paper, we have linked Turkey’s desire for accession to the Cyprus issue.
Ich muss das jedoch etwas näher erklären – auch im Hinblick auf die Reaktionen in der Türkei –, damit das nicht falsch verstanden wird: Dies ist keine Bedingung!	In order that there may be no misunderstanding, and also with Turkish reactions in mind, let me explain – as I must – that this is not a condition.
Wir müssen uns ja strikt an die Schlussfolgerungen von Helsinki halten, in denen es ausdrücklich heißt, dass es sich hier nicht um eine Bedingung handelt.	We have to adhere strictly to the Helsinki conclusions, which state that this is not a condition.
Es ist die Feststellung einer Tatsache.	It is a statement of fact.
Wir stellen schlicht die Tatsache fest, dass im Falle des Ausbleibens einer Lösung der Zypern-Frage ein schwerwiegendes Hindernis für die europäischen Ambitionen der Türkei entsteht. Das ist eine Tatsachenfeststellung – weiter nichts.	We are simply stating the fact that failure to resolve the Cyprus issue would represent a major obstacle to Turkey’s European ambitions.
Aber, natürlich verschweige ich nicht, dass die Feststellung einer solchen Tatsache in einem solchen Strategiedokument eine politische Bedeutung hat. Und ich sage Ihnen auch, diese politische Botschaft, diese politische Bedeutung ist gewollt.	To say that is no more than to state a fact, but I do not, of course, deny that such a statement of such a fact acquires political significance when contained in a strategy document of this sort, and I can also tell you that this political message, this political significance is deliberate.
Die Kommission wollte deutlich machen, dass sie einen solchen politischen Zusammenhang sieht und damit die Türkei ermutigen, ihrerseits noch stärker initiativ zu werden, um die Zypern-Frage auf der Grundlage des Plans der Vereinten Nationen zu lösen.	The Commission wanted to make it clear that it can see such a political connection and wanted, in so doing, to encourage Turkey to be even more pro-active in order to resolve the Cyprus question on the basis of the UN’s plan.
Ich bin fest davon überzeugt, dass sich nach den Wahlen im türkischen Teil Zyperns ein Fenster der Gelegenheit öffnen wird und dass unmittelbar danach der Druck auf alle Beteiligten erhöht werden muss, um Bewegung in die Situation zu bringen, die seit einiger Zeit festgefahren ist.	I am firmly convinced that the elections in the Turkish part of Cyprus will open a window of opportunity, and that, in their immediate aftermath, greater pressure must be exerted on all parties in order to introduce some impetus into a situation that has been bogged down for some time.
Ich denke sogar, dass es der jetzigen türkischen Regierung hilft, wenn eine solche Botschaft aus Europa an sie gerichtet wird, weil sie damit ein starkes Argument denjenigen gegenüber hat, die in der Türkei gerade in der Zypern-Frage bisher weitere Fortschritte verhindert haben.	I do indeed think that a message of this sort from Europe helps the present Turkish Government, in that it gives it a strong argument against those elements in Turkey that have been standing in the way of further progress, particularly on the Cyprus issue.
Das wollte ich Ihnen gerne noch erläutern, weil es sicherlich in den nächsten Tagen zu einer breiten internationalen Diskussion dieser Frage kommen wird.	That is something I wanted to explain to you, as the coming days will certainly see wide-ranging international discussion of this question.
Wir haben immer gesagt, dass der Beitrittsprozess ein Katalysator für die Lösung der Zypern-Frage sein soll, und ich finde, wir müssen alle Chancen nutzen, die es auf diesem Gebiet gibt, um den anachronistischen Zustand zu überwinden, dass es in einem künftigen Mitgliedsland der Europäischen Union einen Stacheldrahtzaun gibt und dass UNO-Soldaten dort eingesetzt sind, um die beiden Volksgruppen voreinander zu schützen.	We have always said that the accession process is intended to be a catalyst for resolving the Cyprus issue, and we must, I think, use every available opportunity to deal with the anachronistic situation of a future Member State of the European Union with a barbed wire fence and UN troops deployed there in order to protect the two ethnic groups from each other.
Das dürfen wir als Europäer einfach nicht hinnehmen, das ist für uns unwürdig …	For us as Europeans, that is simply not acceptable, it is unworthy of us …
… und deshalb hat die Kommission sich zu diesem Schritt entschlossen.	… and that is why the Commission has decided to take this step.
Lassen Sie mich zum Schluss – weil es das letzte Mal ist, dass die Kommission dem Parlament solche umfassenden Berichte vorlegen kann – Ihnen allen noch einmal sehr, sehr herzlich danken für eine jederzeit konstruktive, fruchtbare und vertrauensvolle Zusammenarbeit.	As this is the last occasion on which the Commission will be able to put such comprehensive reports before Parliament, let me conclude by again thanking you very, very warmly for your cooperation, which has always been constructive, fruitful and trusting.
