amtierender Ratspräsident.	President-in-Office of the Council.
Wenn wir es schaffen, die polizeiliche Zusammenarbeit in Europa in der Weise zu verbessern, wie es durch die beiden Maßnahmen geschehen wird, und damit mehr Sicherheit für unsere Bürger zu erreichen, dann müssen wir auch dafür sorgen, dass der Datenschutz in der Europäischen Union einen prominenten Platz hat und dass der Missbrauch von Daten, die zwischen den Mitgliedstaaten übermittelt werden, verhindert und wirksam bekämpft wird.	If we manage to improve police cooperation in Europe as these two measures are designed to do, thereby creating more security for our citizens, we must also ensure that data protection is given a high profile in the European Union and that the abuse of data transmitted between Member States is prevented and effectively combated.
Deshalb bin ich sehr froh, dass es in den letzten Wochen gelungen ist, einen wichtigen Fortschritt beim Rahmenbeschluss zum Datenschutz im Bereich der dritten Säule zu erreichen, dass wir in Übereinstimmung mit der Berichterstatterin des Europäischen Parlaments einen neuen Entwurf in der Ratsarbeitsgruppe in zwei Lesungen behandeln konnten und dass wir die Zahl der Vorbehalte, die in der Vergangenheit verhindert haben, dass schnelle Fortschritte erzielt werden konnten, deutlich reduziert haben.	For this reason I am delighted that major progress has been achieved in recent weeks on the assignment of the framework decision on data protection to the third pillar, that we were able, with the agreement of the rapporteur of the European Parliament, to deal with a new draft in two readings within the Council working group and that we have sharply reduced the number of the reservations which have been a barrier to rapid progress in the past.
Dieser neu überarbeitete Entwurf gewährleistet ein hohes Schutzniveau.	This new revised draft guarantees a high level of protection.
Das Schutzniveau des Europaratsübereinkommens Nr. 108 von 1981 und des Zusatzprotokolls von 2001 wird vollständig gewährleistet werden.	The protection level prescribed by Council of Europe Convention No 108 of 1981 and by the additional protocol of 2001 will be fully guaranteed.
Wir werden in den Fragen des Anwendungsbereichs und der Drittstaatenregelung ebenfalls vernünftige Lösungen finden.	On the issues of the scope of the decision and the rules relating to non-EU countries, we shall also find sound solutions.
Das Europäische Parlament hat hierzu einen ganz wichtigen Beitrag geleistet, und ich möchte mich deshalb im Namen der Präsidentschaft noch einmal ganz herzlich für die außerordentlich schnelle Befassung mit dem überarbeiteten Entwurf bedanken.	The European Parliament has made a very important contribution in this respect, and I should like to thank you most sincerely again on behalf of the Presidency for your extraordinarily rapid treatment of the revised draft.
Insbesondere im Hinblick auf die Angemessenheit des Datenschutzniveaus von Drittstaaten und die Aufnahme einer Regelung zur Weiterleitung an nicht-öffentliche Stellen sind wir auf dem Weg, gute Lösungen zu finden.	Particularly with regard to the adequacy of the protection afforded by states outside the Union and the inclusion of a provision on the forwarding of data to non-public bodies, we are on the way to finding effective solutions.
Ich glaube auch, dass die Evaluierungsklausel, die das Europäische Parlament im Hinblick auf den Anwendungsbereich vorgeschlagen hat, eine überaus konstruktive Lösung ist, und wir werden die verbleibende Zeit der deutschen Präsidentschaft nutzen, um weitere Fortschritte zu erzielen.	I also believe that the evaluation clause proposed by the European Parliament with regard to the scope of the decision is a thoroughly constructive solution, and we shall use the remaining term of the German presidency to achieve further progress.
Kommissar Frattini hat mit seinen fünfzehn Prinzipien zum Datenschutz dazu beigetragen, dass wir die essenziellen Punkte, um die es geht, herausarbeiten konnten.	With his fifteen principles for data protection, Commissioner Frattini helped to ensure that we were able to frame the key provisions in this area.
Wir werden im Rat eine Ratserklärung vorschlagen und dafür werben, dass diese Prinzipien im weiterten Fortgang der Beratungen angemessen berücksichtigt werden.	At the Council meeting we shall propose a Council statement and press for due adherence to these principles in subsequent deliberations.
