Herr Präsident, meine Damen und Herren! Vielen Dank an Sie, Frau Kommissarin Wallström.	. Mr President, ladies and gentlemen, many thanks, Commissioner Wallström.
Niemand müsste ohne jeden Hauch des Zweifels mehr für diese Verfassung kämpfen als der Präsident der Kommission.	Without a shadow of a doubt, nobody should be fighting harder for the Constitution than the President of the Commission.
Deshalb Dank an Sie, Frau Wallström, aber ein klares Wort an die Adresse des Kommissionspräsidenten: Wie kann man in eine interparlamentarische Konferenz wie in der vergangenen Woche gehen, wo sich die überwältigende Mehrzahl der anwesenden nationalen wie europäischen Parlamentarier für die Verfassung ausspricht, und der nächste Ratspräsident Vanhanen gleichzeitig erklärt, dass er während seiner Ratspräsidentschaft die Verfassung in Finnland symbolisch ratifizieren lassen will, und dann als Kommissionspräsident einen Zweifel daran lassen – und der Zweifel existiert –, dass man selbst bereit ist, den Staats- und Regierungschefs zu sagen: Wenn ihr die Verfassung nicht mit mir gemeinsam durchsetzt, wird dieses erweiterte Europa im Immobilismus, der Unbeweglichkeit, verkommen?	I should therefore like to thank you, Mrs Wallström, but I would also say one thing quite clearly to the President of the Commission: How can you go into an interparliamentary conference like the one last week, where the overwhelming majority of the national and European parliamentarians present spoke out in favour of the Constitution and the next President-in-Office of the Council Mr Vanhanen declared that, during his Presidency, Finland would symbolically ratify the Constitution, and then, as President of the Commission, raise doubts – and these doubts do exist – as to whether you yourself are prepared to say to the Heads of State or Government: if you do not join with me in implementing the Constitution, the expanded Europe will grind to a halt?
Ich gebe Ihnen ein Beispiel: Auf der letzten informellen Ratstagung, auf der die Dienstleistungsrichtlinie in Luxemburg diskutiert wurde, waren 25 Arbeitsminister anwesend sowie Vertreter der Kommission und des Europäischen Parlaments.	I will give you an example: 25 ministers of labour, and representatives of the Commission and the European Parliament, were present at the last informal Council meeting in Luxembourg, at which the Services Directive was discussed.
Nach der ersten Zweieinhalbstundendebatte hatte jeder Minister drei Minuten Redezeit.	After the initial two and a half hour long debate, each minister could speak for three minutes.
Das ist ja im Verhältnis zum Europäischen Parlament viel, aber der Angelegenheit, die auf der Tagesordnung stand, unangemessen.	That is a long time in comparison with the European Parliament, but was out of all proportion to the matter on the agenda.
Mit einem solchen Elefantengremium wie dem ECOFIN können Sie keine vernünftige Politik in Europa machen. Das ist das Gegenteil von guter Verwaltung, von klarer Gesetzgebung und Effektivität!	Europe cannot make any sensible policies in an elephantine body like the Ecofin: it is quite the opposite of good management, clear legislation and efficiency.
Wir geraten mit den heutigen Strukturen an unsere Grenzen.	We are reaching the limits of the current structures.
Wer Europa demokratischer machen will, wer es transparenter machen will, wer es effektiver machen will, – der muss es nicht formulieren, der muss es operationalisieren.	If we want to make Europe more democratic, more transparent, more efficient – if we want to deliver to the people – we need to act, not talk.
Dazu brauchen wir die Verfassung.	That is why we need the Constitution.
Solange Botschaften vom Präsidium der Kommission, vor allem vom Präsidenten, ausgehen, die einen Zweifel daran lassen, dass diese Institution der Europäischen Union fest entschlossen ist, die Verfassung durchzusetzen, solange könnten die Gegner der Verfassung meinen, wir hätten aufgegeben.	As long as the Bureau of the Commission, and in particular the President, is sending messages that raise doubts about whether that institution is really determined to implement the Constitution, the opponents of the Constitution could well believe that we have given up.
Nein, die Befürworter der Verfassung, Frau Wallström, stehen hinter Ihnen, und sie sind in der Mehrheit.	No, those who support the Constitution are behind you, Mrs Wallström, and they are in the majority.
Es gibt in diesem Parlament Gegner der Verfassung.	There are those in this Parliament who oppose the Constitution.
Sie sind eine Minderheit, die sich gerade zu Wort meldet.	Those people now raising their voices are in a minority.
Die überwältigende Mehrheit in diesem Haus ist für die Verfassung.	The overwhelming majority of this House are in favour of the Constitution.
Die überwältigende Mehrheit der Mitgliedstaaten ist für die Verfassung.	The overwhelming majority of the Member States are in favour of the Constitution.
Die überwältigende Mehrheit in der Kommission ist für die Verfassung. Wir haben also alle Chancen.	The overwhelming majority of the Commission are in favour of the Constitution.
Dann lassen Sie uns gemeinsam kämpfen. Das gilt auch für Herrn Barroso.	We therefore all have opportunities, so let us fight together, and that goes for Mr Barroso too.
