Herr Präsident, werte Kolleginnen und Kollegen!	Mr President, ladies and gentlemen, the Lisbon Summit has bequeathed a great heritage.
Der Stockholmer Gipfel steht genau an dieser entscheidenden Stelle.	The Stockholm Summit comes precisely at this decisive moment.
Er wird darüber entscheiden, ob die ehrgeizigen Ziele von Lissabon in die Praxis umgesetzt werden können, oder ob die europäischen Bürgerinnen und Bürger denken, dass wir es zwar mit wohlformulierten Aussagen, aber doch Sprechblasen zu tun hatten, die keine Konsequenz für die politische Realität entfalten können.	It will decide whether the ambitious goals of Lisbon can be implemented, or whether the citizens of Europe think that we are dealing with nicely worded but empty statements which would have no real impact on political reality.
Wer den Erfolg in Stockholm will, der muss messen und vergleichen, wie weit wir bisher auf dem Erfolgswege gekommen sind.	Those who want success in Stockholm must measure and compare how far we have come along the road to success.
Vor allem muss er den Mut haben, neue, ehrgeizige Ziele auszugeben, damit wir weiter auf der Erfolgsstraße voranschreiten können.	Above all, they must have the courage to set new ambitious targets so that we can move further along the road to success.
Nun wird uns gesagt, das mit den konkreten Zielen ist eine schwierige Sache.	We are told that concrete objectives are difficult to set.
Natürlich ist es eine schwierige Sache mit konkreten Zielen, aber nehmen Sie einmal so eine komplizierte Angelegenheit wie eine Inflationsrate, die davon abhängig ist, dass viele dezentrale Akteure kluge Entscheidungen treffen.	Of course they are. But just take a complex issue like inflation rates, which is dependent on many decentralised actors making clever decisions.
Wir haben es hier offenbar geschafft, auf dem Weg zur Wirtschafts- und Währungsunion einen sehr gedeihlichen Prozess einzuleiten, der Erfolge gezeitigt hat, die wir bis vor wenigen Jahren noch nicht für möglich gehalten haben.	On the way to economic and monetary union we clearly managed to introduce a very successful process which has led to success which we would not have believed possible up until a few years ago.
Nehmen Sie so komplizierte Dinge wie Zinsentwicklung oder den Abbau der Überschuldung der Staaten.	Take a complex issue like interest rate trends or the dismantling of excessive national debt.
Wir haben all das geschafft mit einer gemeinsamen Kraftanstrengung, und all das sind komplizierte Sachverhalte, die mehr als einen Beteiligten erfordern.	We have achieved all this with a common effort, and these are all complex matters which call for more than one participant.
Wenn uns das gelungen ist, dann werden wir es doch auch schaffen, dass jede Schülerin und jeder Schüler in der Europäischen Union in der Schule einen entsprechenden Internetanschluss vorfindet.	If we can achieve all this, then we will surely manage to give every schoolchild in the European Union access to the Internet.
Wir werden Bedingungen einrichten können, wo alle Schülerinnen und Schüler nicht nur diesen Anschluss vorfinden, sondern auch in ihren Lehrplänen entscheidende Fortschritte machen können, damit sie auf dem Weg in einen europäischen Arbeitsmarkt die Chancen erhalten, die sie benötigen.	We will be able to set up conditions in which all schoolchildren will not only have access to the Internet but will make decisive progress in the rest of their school curriculum to ensure that, when they enter the European labour market, they will have the opportunities they need.
Wenn wir das alles geschafft haben, dann werden wir auch jedem Gewerbetreibenden in der Europäischen Union ein klares, nachvollziehbares und einfaches Regelwerk anbieten können, das in Spanien genauso funktioniert wie in Griechenland, Italien oder in der Bundesrepublik Deutschland.	If we can achieve all this, then we will surely be able to offer every entrepreneur in the European Union a clear, easily comprehensible and simple regulatory framework, which operates in exactly the same way in Spain, Greece, Italy and Germany alike.
Wenn wir das alles geschafft haben, dann werden wir doch auch auf die stärkste europäische Produktivkraft zurückgreifen können.	If we can achieve all this, then we will surely be able to call upon the strongest productive power in Europe.
Wir werden den immer noch über 14 Millionen Arbeitslosen in der Europäischen Union eine ernsthafte Chance bieten, in diesen Erfolgsprozess einzutreten.	We will be able to offer the still more than 14 million unemployed in the European Union real opportunities of taking part in this process of bringing about success.
Wir haben eine Arbeitslosenrate von immer noch über 8 %, und ich will auf den Umstand aufmerksam machen, der mir in der Diskussion der Kommission zu kurz kommt: dass wir eine Jugendarbeitslosenrate haben, die doppelt so hoch ist wie 8 %.	We still have an employment rate of over 8% and I would like to draw your attention to a situation which was given short shrift in the debate in the Commission: the fact that we have a youth unemployment rate which is twice as high.
Dies ist ein großes Problem, gerade wenn wir heute sagen, wir wollen den demographischen Wandel beherrschbar machen, und wir wollen auf die Intelligenz in den Köpfen setzen und in die Köpfe investieren.	This is a major problem, especially since we are saying here today that we want to make the demographic change manageable, and we want to rely on the intelligence in people' s heads and invest in heads.
Hier könnte konkret noch sehr viel mehr unternommen werden, um Jugendarbeitslosigkeit zu beseitigen und in die Zukunft Europas zu investieren.	Much more could be done in practical terms to combat youth unemployment and to invest in the future of Europe.
Aber genau deswegen ist es auch richtig, dass die Kommission in einem Papier zur Vorbereitung von Stockholm vorschlägt, dass wir in Stockholm ganz konkrete Ziele sehen wollen, ganz konkrete Ziele zur Anhebung der Beschäftigungsquote, nämlich auf 67 % bis 2005 und 57 % insbesondere auch zur Stärkung der Erwerbsbeteiligung von Frauen.	But for that very reason it is also proper for the Commission, in a preparatory paper in the run-up to Stockholm, to propose that in Stockholm we should look at very specific goals to increase the employment rate to 67% by 2005 and to strengthen the participation of women in the labour force to 57%.
Dies sind richtige Ziele, und wir als Europäisches Parlament, wir als die Vertreterinnen und Vertreter der Bürger in Europa wollen diese Ziele auch im Abschlussdokument des Stockholmer Gipfels dokumentiert sehen.	These are the right goals to set and we, as the European Parliament, as the representatives of the people of Europe, want to see these goals documented in the final report of the Stockholm Summit.
Wir legen Wert darauf, dass diese Bilder sprechen, damit die Menschen in Europa von wirklich nachvollziehbaren Zielen erfahren, mit denen sie sich identifizieren können und bei denen sie auch merken, dass ihre Chance im Erfolgsprozess von Europa angelegt ist.	We think it is important that the people of Europe read about targets which they can readily understand, with which they can identify and in which they can see that their prospects of success in Europe lie.
Dies wird nicht zuletzt mit darüber entscheiden, ob es auch eine Akzeptanz für die notwendige Erweiterung der Europäischen Union gibt, die wir alle wollen, von der wir jedoch auch das Signal aussenden müssen, dass alle, die jetzt noch benachteiligt sind, und alle, die jetzt noch ihre Ressourcen einbringen wollen, auch eine Chance dazu haben.	This will also help us to decide whether there is acceptance of the necessary enlargement of the European Union, which we all want. But we must also send out a clear signal that all who are currently disadvantaged and who want to contribute their resources will have the opportunity to do so.
Wer das will, muss mutig voranschreiten und die Rivalitäten unter den europäischen Institutionen überwinden.	Whoever wants to must move forward courageously and overcome the rivalries between the European institutions.
Die Bürger Europas haben kein Verständnis dafür, wenn es kleinliche Eifersüchteleien über die Aufgabenverteilung gibt.	The people of Europe do not understand the petty jealousies over the allocation of competences.
Es muss klar sein, dass der Europäische Rat seine Führungsrolle übernimmt, und es muss klar sein, dass das Parlament seinen Platz bekommt, den Platz, der dem Parlament als direkt gewählter Vertretung der europäischen Bürger auch zusteht.	It must be made clear that the European Council is assuming its leadership role and that Parliament is taking up its proper place, the place to which it is entitled as the directly elected representative of the people of Europe.
