Herr Präsident! In einem Punkt hat uns dieser Frühjahrsgipfel wieder Hoffnung eingehaucht.	– Mr President, in one respect this Spring Summit has given us renewed hope.
Es wird weiterer politischer Maßnahmen bedürfen.	Further political measures are required.
Das gilt nicht für die Reden auf den Gipfeln, es gilt nicht für die Vereinbarungen auf den Gipfeln.	This does not mean speeches at summits, or agreements reached at them.
Das gilt für die Umsetzungsmaßnahmen in den Mitgliedstaaten.	It means implementation measures in the Member States.
Wir verlieren an Erfolg und Glaubwürdigkeit, wenn dort nicht mehr passiert!	We will lose success and credibility if nothing is done about this!
Herr Präsident, Europa braucht mehr Projekte wie den Airbus. Hier haben wir gezeigt, dass öffentlich-private Partnerschaften, verschiedene Länder, verschiedene Beschäftigte, verschiedene Unternehmen zusammenarbeiten können.	Mr President, Europe needs more projects like the Airbus, which has shown that public-private partnerships, different countries, different employees, different companies can work together.
Warum kann Europa nicht andere Erfolgsprojekte organisieren, die diesen Stellenwert haben. Das würde nämlich Hoffnung machen, das würde konkret Arbeitsplätze schaffen, das würde ganz konkret auch Europas Überlegenheit in bestimmten Zukunftstechnologien fördern.	Why cannot Europe organise other successful projects with these values, which would really create hope, which would really create specific jobs, which would quite specifically promote the European lead in specific technologies of the future?
Dazu ist sicherlich die Investitionsoffensive, das Programm, ein richtiger Schritt. Aber das reicht nicht, es ist einfach zu wenig.	For this, the investment drive, the Quickstart programme, is certainly a step in the right direction, but it is not sufficient; it is simply too little.
Wir müssen weiterhin Reformen anstreben, wir müssen Barrieren im Handel und erst recht bei den Dienstleistungen abbauen. Aber wir müssen auch auf Investitionen setzen, und da darf auch der Pakt nicht im Wege stehen.	We must continue to strive for reforms; we must dismantle barriers to trade and in particular services, but we must also concentrate on investment, and the Pact must not be an obstacle to this.
Wenig motivierend für Spitzenkräfte in Forschung und Entwicklung ist auch das Ausbleiben des Gemeinschaftspatents.	The continued lack of a Community patent is also a deterrent factor for leaders in research and development.
Wenn auch die Staats- und Regierungschefs sich jetzt ernsthaft versprochen haben, dass es kommen soll, muss es doch noch in diesem Jahr kommen!	Although the Heads of State or Government have now seriously promised that it will come, it still cannot come this year!
Allein sichtbare und konkrete Ergebnisse werden Europas Bürger von Europas Nutzen und Mehrwert überzeugen.	Only visible and specific results will convince the citizens of Europe of the advantages and added value of Europe.
Europa steht wieder einmal am Scheideweg.	Europe is once again at the crossroads.
Entweder wir steigern die Erwerbsquote, organisieren Optimismus und Dynamik und bauen die Arbeitslosigkeit ab, oder die Glaubwürdigkeit des europäischen Einigungsprozesses steht auf dem Spiel.	Either we increase the rate of purchasing, muster optimism and dynamism and banish unemployment, or the credibility of the European unification process is in jeopardy.
