Herr Präsident, Herr Kommissar, liebe Kolleginnen und Kollegen!	Mr President, Commissioner, ladies and gentlemen.
Errare humanum est, perseverare diabolicum.	Errare humanum est, perseverare diabolicum.
Das verstehen Sie, Herr Fischler!	You understand that, Mr Fischler.
Der Vertrag bietet ja die erforderlichen Grundlagen, um sofort die von uns seit 1992 angemahnten direkten Beihilfen wie die Bestäubungsprämie einzuführen.	The bases needed in order to introduce the direct aid now which we have lobbied for since 1992 are there for us in the Treaty.
In meinem Bericht haben wir wieder konkrete finanzierbare Vorschläge gemacht, kurz- und mittelfristige, welche ich aus Zeitgründen nicht alle darlegen kann. Aber die Kommission kann ja lesen.	In my report we have again made specific, affordable short- and medium-term proposals, which there is too little time to go into, but the Commission can read.
Wir wollen deshalb heute von ihr hören, dass sie bereit ist, sich aufgrund unserer Vorschläge, die von allen Imkern in der Gemeinschaft, von Norden bis Süden, mitgetragen werden, zu bewegen, und zwar in die richtige Richtung.	So what we want to hear today is that it is prepared to get moving on the basis of our proposals, which are supported by all beekeepers in the Community, from north to south, and we mean in the right direction.
Herr Fischler konnte sich ja davon überzeugen, am Dienstag, als die Imker aus den meisten Mitgliedstaaten im Hause waren mit ihren Produkten, die übrigens ein so großes Interesse fanden, dass verschiedene Stände schon vollkommen ausgeräumt waren, ehe die Imker den geladenen Gästen ihre Produkte anbieten konnten.	Mr Fischler saw for himself on Tuesday, when beekeepers from the majority of Member States visited the House with their produce, which attracted a great deal of interest, that some stands were cleaned out before the beekeepers had time to offer their products to the invited guests.
Ich möchte auch den Kollegen danken, die an der Sitzung mit den über 60 Imkern teilgenommen haben, und die alle, so wie die Kollegin im Ausschuss für Landwirtschaft und ländliche Entwicklung, die in meinem Bericht enthaltenen Forderungen aus vollem Herzen unterstützen.	I should also like to thank the honourable Members who attended the meeting with over 60 beekeepers and who, like my colleagues in the Committee on Agriculture and Rural Development, fully support the demands contained in my report.
Wir brauchen eine großzügigere Mitfinanzierung der Gemeinschaft über die bestehenden 50 % hinaus, weil manche Mitgliedstaaten zu knauserig sind, um diese 50 % für Programme zur Verbesserung der Erzeugung und Vermarktung von Honig aufgrund der Verordnung von 1997 aufzubringen, so dass ihre Imker nicht einmal in den Genuss der für ihr Land zur Verfügung stehenden paar hungrigen Euros kommen.	We need more generous Community cofinancing than the current 50%, because many Member States are too mean to raise the 50% for programmes to improve the conditions under which honey is produced and marketed on the basis of the 1997 regulation, depriving their beekeepers of even the few hungry euros earmarked for their country.
Wir brauchen sowohl die im Bericht geforderten Sofortmaßnahmen als auch mittelfristig im Rahmen der Halbzeitprüfung der Agenda 2000 die Direktbeihilfen, insbesondere die Austauschprämie für die Einkommensverluste, die auf die fehlende Gemeinschaftspräferenz in diesem Sektor zurückzuführen sind.	We need both the immediate measures called for in the report and medium-term direct aid pending the mid-term view of Agenda 2000, especially premiums to compensate for loss of income because there is no Community preference in this sector.
Ich bin fast stolz, dass ich es zusammen mit den Kollegen aus dem Ausschuss für Landwirtschaft und ländliche Entwicklung und dem Haushaltsausschuss fertiggebracht habe, dass die Kredite für Programme zur Verbesserung der Erzeugung und Vermarktung von Honig für 2002 von 14 auf 16,5 Millionen erhöht werden.	I am almost proud of having managed, together with my colleagues in the Committee on Agriculture and Rural Development and the Committee on Budgets, to get appropriations for programmes to improve the conditions under which honey is produced and marketed raised from EUR 14 to 16.5 million for 2002.
Das ist die einzige obligatorische Ausgabe im Agrarhaushalt, der dieses Schicksal widerfährt.	That is the only compulsory expense in the agricultural budget to which this has happened.
Das kann aber nicht davon ablenken, dass die Bienenpolitik der Kommission weiter unterentwickelt ist.	But that cannot distract us from the fact that the Commission's bee policy is still underdeveloped.
Es bedarf lediglich ihres politischen Willens und desjenigen des Rates, um mit einem Betrag, den die EU in weniger als fünf Stunden pro Jahr ausgibt, von den 2 Milliarden veruntreuten Geldern im EU-Haushalt überhaupt nicht zu reden, es bedarf also lediglich dieses politischen Willens, um die Bienenzucht in Europa gemeinsam mit den Imkern abzusichern und zu verhindern, dass wir mittelfristig blindlings in die Mauer einer ökologischen Katastrophe rennen!	All it needs is the political will on the part of the Commission and the Council to give us a sum which the EU takes less than five hours a year to spend, not to mention the EUR 2 billion embezzled from the budget. This political will is all that is needed to allow us, together with the beekeepers, to protect beekeeping in Europe and to prevent us from running blindly into the wall of an ecological catastrophe in the medium term.
