amtierender Ratspräsident. Herr Präsident!	President-in-Office of the Council.
Das hat beim letzten Gipfel geklappt.	This worked at the last Summit.
Nun werden natürlich dieselben Fragen gestellt mit Blick auf den 25. März.	Now of course the same questions are being asked about 25 March.
Wie soll das eigentlich gehen bei einer so unterschiedlich interpretierten Geschichte der Europäischen Union, bei so unterschiedlichen Erwartungen an den Inhalt der Berliner Erklärung?	How is it actually supposed to work when there are such varied interpretations of the history of the European Union, when expectations about the content of the Berlin Declaration differ so greatly?
Ich sage Ihnen, es wird genau so geschehen.	I tell you, it will happen in just the same way.
Wir haben in der Vergangenheit mit Geduld zugehört. Ich glaube, wir wissen ungefähr, wo die Erwartungen liegen.	In the past we have listened patiently and I think we know more or less what people's expectations are.
Ich sage dies nur deshalb, weil vorhin jemand gesagt hat, das Ergebnis werde dann ja notwendigerweise sehr generell sein.	I am only saying this because earlier someone said that the outcome would then of course necessarily be very general.
Wenn die Berliner Erklärung gelingt, muss das Gelingen nicht notwendigerweise Ursache für Banalität sein.	If we succeed in having a Berlin Declaration then this success does not necessarily have to be a reason for banality.
Es kann tatsächlich auch ein gutes Ergebnis sein, das für diese Berliner Erklärung herauskommt.	The result that emerges can also be a good Berlin Declaration.
Wenn dieser Schritt gelingt, dann ist das noch nicht die Lösung, auch nicht das Ende unserer Präsidentschaft und auch nicht das Ende unseres Ehrgeizes.	If we succeed in taking this step it still will not be the solution, but it will not be the end of our Presidency either, and neither will it be the end of our ambition.
Aber es ist ein wichtiger zweiter Schritt hin zu der im Juni-Gipfel hoffentlich zustande kommenden Lösung, bei der wir versuchen, den Knoten zu zerschlagen, der uns gegenwärtig bei dem europäischen Erneuerungsprozess noch im Wege liegt.	But it is an important second step towards the solution that will hopefully be achieved at the June Summit, when we will try to untangle the knot that is at present still stopping the European renewal process from moving forward.
Ich kann Ihnen versichern, wir werden dazu bei der Vorbereitung des Juni-Gipfels tun, was möglich ist.	I can assure you that when we prepare for the June Summit we will do whatever we can to achieve this.
Zu Energie und Klima einige abschließende Worte: Viele haben zu Recht darauf hingewiesen, dass mit diesem Gipfel natürlich noch nicht die ganze Arbeit getan ist.	I should like to make a few final comments on energy and climate. Many Members have rightly pointed out that this Summit does not of course mean that our work is complete.
Ich komme nicht umhin, das zu bestätigen, und zu sagen: Jawohl, in vielen Bereichen ist weitere Arbeit erforderlich.	All I can do is confirm this and say: yes, further work is needed in many areas.
Ich habe die Energieforschung genannt, ich habe die Festigung unserer Energieaußenbeziehungen genannt, das gilt natürlich auch, Günther Verheugen, für das ehrgeizige Ziel der erneuerbaren Energien.	I have mentioned energy research; I have mentioned strengthening our energy relationships with third countries, and of course this also applies, Mr Verheugen, to the ambitious target for renewable energies.
Die 20 % haben wir jetzt als europäisches Ziel und wir haben immer - auch nach draußen - gesagt, dass es jetzt darauf ankommt, dass wir dieses europäische Ziel in nationale Ziele umsetzen.	The 20% is now our European target and we have always said, even to the outside world, that it is now a question of converting this European target into national targets.
Davon abgesehen, dass ich davon überzeugt bin, Günther Verheugen, dass uns das miteinander gelingen wird, will ich Ihnen hier nur sagen: Kommission und Präsidentschaft haben natürlich miteinander diskutiert, ob man den umgekehrten Weg hätte gehen sollen um zunächst eine Verständigung über nationale Ziele zu erreichen, und daraus dann das europäische Ziel abzuleiten.	Apart from the fact that I am convinced, Mr Verheugen, that we will achieve this together, all I want to say to you here is that the Commission and the Presidency obviously discussed whether we should have gone down the opposite route, first agreeing national targets and then deriving a European target from these.
Wir waren uns nur beide - Kommission und Präsidentschaft - gewiss, dass wir wahrscheinlich noch fünf Jahre diskutiert und kein gemeinsames Ziel gefunden hätten.	However, both of us - the Commission and the Presidency - were sure that we would probably have discussed this for another five years and still would not have identified a common target.
Deshalb haben wir uns auf diesen Weg verständigt.	That is why we agreed on this approach.
Es wurde darauf hingewiesen, dass wir Europäer letztlich allein das Weltklima nicht retten können.	It was pointed out that we Europeans ultimately cannot rescue the world's climate on our own.
Wir müssen im Auge haben, wie sich die Energie- und Klimapolitik in wichtigen Staaten wie den USA, China und Indien weiterentwickelt.	We need to keep an eye on how energy and climate policy develops in important countries such as the United States, China and India.
Es ist der Verdacht geäußert worden, wir würden uns gerade darum nicht kümmern.	Someone voiced the suspicion that this was precisely what we would not be concerned about.
Ich will nur sagen: Das Gegenteil ist richtig, und das sage ich für Europa, das sage ich für unsere nationale deutsche Politik und das sage ich insbesondere auch für unsere G8-Präsidentschaft.	I simply want to say that the opposite is true, and I am saying this for Europe, I am saying it for our national German policy, and I am saying it in particular for our G8 Presidency.
Ich werde am kommenden Montag in Washington sein und nach Absprache mit der amerikanischen Kollegin dort eine gemeinsame größere Veranstaltung unter Beteiligung deutscher und amerikanischer Unternehmen eröffnen, mit denen wir uns darüber unterhalten werden, wie wir die transatlantische Technologiepartnerschaft, gerade auch im Bereich der Energiewirtschaft, stärken können.	On Monday I will be in Washington and by arrangement with my American colleague I will be opening a major, joint event there involving German and American companies, with whom we will be discussing how we can strengthen the transatlantic technology partnership, particularly in the field of the energy economy.
Ich weise mit Blick auf die Anstrengungen in den USA darauf hin, wie jenseits von der Bundesebene in vielen Staaten der USA bereits vorbildliche Arbeit im Bereich der Klima- und Energiepolitik geleistet wird.	In the context of the efforts being made in the United States, I would point out that below the federal level exemplary work is already being done on climate and energy policy in many US states.
Zu China will ich Ihnen nur sagen: Das haben wir fest im Blick.	On China I wish to say only that we have it firmly in our sights.
Es wird im G8-Zusammenhang, sowohl auf der Gipfelebene wie auf der Außenministerebene, so genannte Outreach-Treffen geben, zu denen nicht nur China und Indien eingeladen sind, sondern auch Mexiko, Südafrika und Brasilien, und auf beiden Tagungen - sowohl auf der Außenministerebene als auf der Gipfelebene - wird das Thema Energie und Klima eine zentrale Rolle spielen.	In the context of the G8, both at summit level and at foreign ministers' level, 'outreach' meetings are going to be held, to which not only China and India are invited but also Mexico, South Africa and Brazil, and at both meetings - both at the foreign ministers' level and at summit level - the issues of energy and climate will play a central role.
Sie sehen, wir kümmern uns auch um diejenigen, die nicht zur Europäischen Union gehören.	As you see, we are also concerned about those who do not belong to the European Union.
Wir müssen zeigen - der zurückliegende Gipfel hat das getan, und da bin ich mit Günther Verheugen einer Meinung -, dass die Europäische Union kein historisches Seminar ist, sondern eine Zukunftswerkstatt.	We need to show - as we did at the last Summit, and there I agree with Mr Verheugen - that the European Union is not a historical seminar but a workshop for the future.
Und ein Beispiel dafür haben wir geliefert.	We have provided an example of this.
(Beifall)	(Applause)
