. Herr Präsident! Wir kommen hier wieder zu einem sehr sensiblen Bereich.	– Mr President, this takes us to another very delicate area.
Dieses Seminar wird vom 20. bis 22. Juni 2006 in Wien stattfinden und ausgesuchte Problematiken erörtern, die im Zusammenhang mit diesem Vorschlag stehen.	The seminar will take place in Vienna from 20–22 June 2006 and will discuss selected problems connected with this proposal.
Wie Sie sich sicher vorstellen können – das konnten wir ja auch im Rahmen der jüngst erfolgten Diskussion über die Karikaturen sehen –, bewegen wir uns hier wieder genau in dem Spannungsfeld zwischen unserer politischen Botschaft, dass wir eindeutig gegen Rassismus und Fremdenhass auftreten, und der Freiheit der Meinungsäußerung.	As I am sure you can imagine – indeed, this also emerged from the recent discussions on the caricatures – we find ourselves once more in the midst of the area of tension between our political message – that we unambiguously oppose racism and xenophobia – and freedom of expression.
Genau dieses Spannungsfeld gilt es aufzulösen, um hier tatsächlich einen wichtigen Schritt weiterzukommen.	It is this very tension that we have to defuse if we are to really make important progress.
Das sind auch genau die Punkte, die während des Seminars erörtert werden sollen.	These are also exactly the kind of issues that are to be discussed at the seminar.
Gedacht ist bezüglich der Teilnahme an diesem Seminar, dass je zwei Vertreter der Mitglieds-, Beitritts- und Kandidatenstaaten daran teilnehmen sollen.	It is intended that two representatives of each of the Member States, acceding countries and candidate countries participate in this seminar.
Vor allem wollen wir auch NGOs einladen, die mit der Thematik vertraut sind, ferner Vertreter des Europarats, des OSZE-Büros für demokratische Institutionen und Menschenrechte, des Netzwerks unabhängiger Experten für Grundrechte, der Europäischen Kommission gegen Rassismus und Intoleranz.	We also intend to invite NGOs, in particular, who are familiar with the issues, and also representatives of the Council of Europe, of the OSCE Office for Democratic Institutions and Human Rights, of the EU network of independent experts in fundamental rights, and of the European Commission against Racism and Intolerance.
Selbstverständlich werden auch Vertreter des Europäischen Parlaments eingeladen werden, daran teilzunehmen.	It goes without saying that representatives of Parliament will also be invited to participate.
Sie werden eine offizielle Einladung für dieses Seminar Ende März erhalten.	Parliament will receive an official invitation to this seminar in late March.
Bis dann ist das Programm auch endgültig fertig gestellt, sodass wir es dann vorlegen können.	The programme will also have been finalised by then, and we shall be able to present it.
Darüber hinaus darf ich – wie bereits im Zusammenhang mit Frage 4 zum Grundrechtsschutz – darauf hinweisen, dass der Europäische Rat im Dezember 2003 beschlossen hat, eine Europäische Agentur für Grundrechte einzurichten, was er im Dezember 2004 bekräftigt hat.	In addition, as already mentioned in connection with Question No 4 on the protection of fundamental rights, I should like to point out that the European Council decided in December 2003 to establish a European Fundamental Rights Agency, a fact it confirmed in December 2004.
In der Ad-hoc-Arbeitsgruppe des Rates Grundrechte und Unionsbürgerschaft wird derzeit der im Juni 2005 von der Europäischen Kommission vorgelegte Verordnungsvorschlag geprüft.	The Council’s ad hoc working party on fundamental rights and citizenship is currently examining the proposal for a regulation presented by the Commission in June 2005.
Geplanter Arbeitsbeginn der Agentur ist der 1. Januar 2007.	The Agency is scheduled to start work on 1 January 2007.
Wir wissen, das ist ein sehr enger Zeitplan, aber wir hoffen, ihn einhalten zu können.	We know that this is a very tight schedule, but we hope to be able to keep to it.
Der österreichische Vorsitz misst dieser Thematik größte Bedeutung bei und hofft, die Verhandlungen abschließen zu können, damit ein rechtzeitiger Arbeitsbeginn der Agentur gewährleistet werden kann.	The Austrian Presidency attaches the highest priority to this issue and hopes to be able to conclude the negotiations so that the Agency can start work on schedule.
