Herr Präsident.	.
Und man kommt in der Kommission und vor allen Dingen in den Ratspräsidentschaften immer häufiger zu der Einsicht, dass die Wirtschafts- und Währungsunion in Europa nicht gelingt, wenn sie nicht durch eine Sozialunion ergänzt wird.	The Commission and, above all, the Council presidencies, are increasingly coming to the realisation that economic and monetary union in Europe will not succeed unless supplemented by social union.
In dieser Hinsicht ist die österreichische Ratspräsidentschaft ein Schritt in die richtige Richtung gewesen.	In this respect, the Austrian presidency has been a step in the right direction.
Dass wir das aus dem Munde des Kommissionspräsidenten hier vernehmen, befriedigt uns zumindest für den Moment.	That we should hear this from the mouth of the President of the Commission is for us a cause for satisfaction, at least for the moment.
Aber es zeigt, dass für die Zukunft viel zu tun ist.	It does show, however, that there is much to be done for the future.
Wir als Parlament haben die Dienstleistungsrichtlinie verändert.	Our parliament has amended the Services Directive.
Herr Minister Bartenstein, es ist Ihnen schon gedankt worden, und auch ich danke Ihnen für die Einladung der Kolleginnen und Kollegen aus dem Europäischen Parlament – ich weiß nicht mehr, wo es war, in Graz oder anderswo, man kann die schönen Orte gar nicht alle im Kopf behalten, wo Sie überall Ski fahren und Klöster und anderes haben.	Mr Bartenstein, our thanks have already been expressed to you and I, too, wish to thank you for the invitation accorded to members of the European Parliament – I can no longer recall where it was, Graz or somewhere else, it is impossible to remember all those beautiful places with monasteries and other things where people go skiing.
Es war gut, dass Sie die Kolleginnen und Kollegen des Parlaments eingeladen haben. Damit haben Sie auch dokumentiert, dass Sie der Prärogative des Parlaments in diesem Gesetzgebungsverfahren Rechnung tragen.	It was good that you invited Members of this House, thereby demonstrating that you are bearing in mind the parliament’s prerogative in this legislative process.
Denn eins ist klar: Bei der Dienstleistungsrichtlinie ist zum ersten Mal in der Europäischen Union eine Richtlinie durch das Parlament geschrieben worden.	One thing is clear, the Services Directive is the first instance in the history of the European Union of a directive having been written by Parliament.
Das neoliberale Machwerk, das Herr Bolkestein uns vorgelegt hat, war nicht realisierbar.	The neoliberal composition which Mr Bolkestein presented to us was not a workable proposition.
Es ist erfreulich, dass bei aller Heterogenität der Rechten in diesem Hause, insbesondere der EVP-ED-Fraktion, der sozial verantwortliche Teil dieser Fraktion uns, unserer Berichterstatterin und unserer Linie gefolgt ist.	It is gratifying that, given the heterogeneity of the right wing in this House, particularly that of the Group of the European People’s Party (Christian Democrats) and European Democrats, the socially responsible elements in that group followed our lead, our rapporteur and the line we have taken.
Noch besser ist, dass die Kommission nichts verändert hat, und die Krönung ist, dass die österreichische Ratspräsidentschaft ihren Stempel daraufgedrückt hat.	What is even better is the fact that the Commission has not made any amendments, and the crowning glory is that the Austrian Council Presidency has also put its stamp on it.
Herzlichen Glückwunsch zu diesem sozialen Fortschritt in Europa, den Sie dank der Hilfe des Europäischen Parlaments erreicht haben!	Congratulations on this social progress in Europe, which has been achieved with the help of the European Parliament.
Sie haben zu Recht darauf hingewiesen, dass in den Ministerräten eine Reihe von Dingen unter Dach und Fach gebracht worden ist.	You were right to point out that a range of matters have been finalised in the Councils of Ministers.
Ja, die Ministerräte handeln, die Ministerräte beschließen!	Yes indeed, the Councils of Ministers act and make decisions.
Die konkrete Arbeit in den Räten funktioniert.	The specific work undertaken in the Councils is working.
Wer nicht funktioniert, ist der Rat der europäischen Staats- und Regierungschefs, der beschließt nämlich in der Regel nichts.	What is not working is the Council of European Heads of State or Government which, as a rule, does not decide on anything.
Das, was jetzt beschlossen worden ist, ist in einem Punkt positiv.	What has now been decided on is positive in one aspect.
Ich will ja zugeben, dass das Bekenntnis aller Ihrer Kolleginnen und Kollegen zur Substanz der Verfassung, das Sie als Ratspräsident vorgetragen haben, positiv ist.	I will certainly admit that the declaration of support from all of your counterparts regarding the substance of the constitution that you have presented as Council President has been positive.
Ich habe es fast gar nicht glauben können, ich habe das ja auch im Fernsehen in der Pressekonferenz gesehen, als Sie gesagt haben, sie haben sich alle zur Substanz dieser Verfassung bekannt.	I could scarcely believe it when I saw the press conference on TV when you said that they had all declared their support for the substance of this constitution.
Da fragt man sich, warum Ihre Kolleginnen und Kollegen das so selten öffentlich tun, warum sie das nur hinter verschlossenen Türen machen und Ihnen alleine überlassen.	The question can certainly be asked as to why your fellow Heads of Government so seldom do this in public, why they only do things behind closed doors and leave you to it.
Herr Vanhanen geht mit gutem Beispiel voran, Sie selbst haben sich zu dieser Verfassung bekannt.	Mr Vanhanen sets a good example, and has himself declared his support for this constitution.
Dass sich auch Jacques Chirac und jetzt Jan Peter Balkenende hinter verschlossenen Türen zu dieser Verfassung bekannt haben, finde ich ganz toll.	I think it is tremendous that Mr Jacques Chirac too has declared behind closed doors his support for this constitution, and has now been joined in this by Mr Jan Peter Balkenende as well.
Sie hätten es nur einmal stärker während der Kampagne in Frankreich und in den Niederlanden tun sollen, dann wäre Europa jetzt ein Stück weiter.	Had they done this more openly during the elections in France and the Netherlands, Europe would now be one step further along the road.
Der entscheidende Punkt ist doch, dass sie es klammheimlich machen.	The key point is that they do it furtively.
Aber dass die Substanz gerettet worden ist, das ist gut.	It is good, though, that the substance has been preserved.
Und dass wir auf dieser Substanz aufbauen müssen, das ist jedem in diesem Hause klar.	It is also clear to everyone in this House that it is on this substance that we have to build.
Nur verlieren wir wieder ein weiteres Jahr an Zeit, die wir dringend brauchen, um die der Verfassung innewohnenden Reformschritte, die Grundvoraussetzung für den ökonomischen, sozialen und auch den Erweiterungserfolg der EU sind, umzusetzen.	The only problem is that we are now losing another year, time we urgently need to implement the reform steps inherent in the constitution, the basic prerequisite for the EU’s economic and social success, as well as success in terms of its enlargement.
Diese Reformen sind wiederum ein weiteres Jahr aufgeschoben.	Again, these reforms have been postponed for another year.
Das ist die weniger gute Botschaft, die von diesem Rat ausgeht.	This is the less satisfactory message emanating from this Council.
Ich will mit einer Bemerkung zum bevorstehenden EU-USA-Gipfel schließen.	I wish to finish with a comment on the forthcoming EU-USA summit.
Neben dem Erfolg, dass es ein positives Bekenntnis zur Erweiterung um Bulgarien und Rumänien gibt, was unsere Fraktion ausdrücklich begrüßt, da es ein positives Zeichen der Zuverlässigkeit europäischer Politik ist, haben Sie sich klar zu Guantanamo geäußert. Dazu einen herzlichen Glückwunsch!	In addition to the success surrounding the positive declaration of support for enlargement to include Bulgaria and Romania, which our group expressly welcomes, given that it is a positive sign of the dependability of European policy, you made a clear statement on Guantanamo, and on that we congratulate you.
Guantanamo – ich habe das in der vergangenen Woche gesagt – ist ein rechtsfreier Raum, und eine Rechtsgemeinschaft kann keinen rechtsfreien Raum dulden.	As I said last week, Guantanamo is a lawless zone which cannot be tolerated by a community based on the rule of law.
Ich hoffe, Sie werden das in dieser Klarheit auch morgen dem amerikanischen Präsidenten sagen.	I hope that you will, tomorrow, say that with the same clarity to the President of the United States.
