. Herr Präsident, Frau Kommissarin!	Mr President, Commissioner, thank you for your presentation.
Wir alle wissen aber auch, daß im laufenden Haushalt die Marktausgaben mehr als achtmal so hoch sind wie die Ausgaben für die ländliche Entwicklung und daß im künftigen Haushalt die Marktausgaben mehr als neunmal so hoch wie die Ausgaben für die ländliche Entwicklung sein sollen.	But we all know that market expenditure in the current budget is over eight times higher than expenditure on rural development and that market expenditure in the next budget will be over nine times higher than expenditure on rural development.
Also da ist dem Wunsch des Rates und den Beschlüssen des Rates Rechnung getragen worden, gar nicht so sehr dem Wunsch des Parlaments.	This may take account of the wishes of the Council and of Council' s decisions, but it does not take quite such good account of the wishes of Parliament.
In Kategorie 3, die alle unsere Prioritäten beinhaltet - nicht nur Kategorie 3, natürlich auch Kategorie 4 -, aber da vor allem in den internen Politiken wird die Europäische Union für sämtliche Bürgerinnen und Bürger greifbar.	It is through Category 3, which encompasses all our priorities - not only Category 3, Category 4 also of course - but it is mainly through internal policies that all citizens perceive the European Union.
Wenn man sich ansieht, daß der Haushalt ungefähr 6,13 Mrd. ausmachen soll und man das ins Verhältnis zu den Marktausgaben setzt, dann weiß man, daß die Marktausgaben sechsmal so hoch sind wie die gesamte Kategorie 3. Wenn man dann auch noch weiß, daß vier Fünftel aller Ausgaben durch Mehrjahresprogramme festgelegt sind, wobei natürlich 80% aller dieser Mehrjahresprogramme im Mitentscheidungsverfahren entschieden wurden, dann ist die von der Kommission vorgeschlagene Erhöhung um 1,4% einzig und allein durch die Erhöhung der Forschungsausgaben verursacht.	When you see that the budget has been set at around EUR 6.13 billion and then you compare that with market expenditure, then you see that market expenditure is six times higher than the whole of Category 3. Knowing that four-fifths of all expenditure is tied in with multiannual programmes, and that, of course, 80% of all these multiannual programmes are decided under the codecision procedure, then the 1.4% increase proposed by the Commission is purely and simply the effect of the increase in research expenditure.
Diese allerdings wollen Sie um 8% erhöhen, wobei die Forschungsausgaben mehr als 60% der Kategorie 3 ausmachen.	Nevertheless, you want to increase this expenditure by 8% and research expenditure accounts for over 60% of Category 3.
Ich weiß, daß die Kommission damit den von ihr akzeptierten Prioritäten, nämlich der Schaffung einer wissensbasierten Gesellschaft und der Verbesserung der Lebensbedingungen der Bürgerinnen und Bürger budgetär Rechnung tragen will.	I know that the Commission is endeavouring to take account in the budget of the priorities it has accepted, namely creating a knowledge-based society and improving the quality of life of our citizens.
So weit, so gut.	So far so good.
Wir können das auch unterstützen.	We can support that.
Aber was ist denn eigentlich mit den Prioritäten des Parlaments?	But what about Parliament' s priorities?
Wir haben frühzeitig über unsere Prioritäten diskutiert, unter uns und auch mit der Kommission, und wir haben auch rechtzeitig unsere Leitlinien verabschiedet, auch für die Kategorie 3. Sie haben gerade einige Punkte herausgegriffen, aber wenn wir dann sehen, daß Bildung und Jugendpolitik um 1,2% steigen sollen, dann muß man - wenn man die ganze Rubrik sieht - sagen, daß das in der Tat deshalb so ist, weil wir im nächsten Jahr das Europäische Jahr der Sprachen haben, und dafür werden die Ausgaben um 275% steigen.	We discussed our priorities well in advance both among ourselves and with the Commission, and we adopted our guidelines well in advance, including for Category 3. You have just picked out a few points but when we see that education and youth policy are to rise by 1.2% then we must say - looking at the entire heading - that that is because next year is the European Year of Languages and the expenditure for it will rise by 275%.
Das ist völlig normal, und wir haben das auch unterstützt.	That is perfectly normal and we have supported that.
Wenn man die Rubrik Kultur und audiovisuelle Medien betrachtet, ist eine Steigerung um 2,7% zu verzeichnen.	If you look at the Culture and Audiovisual Media heading, there is a 2.7% increase.
Ich könnte mir auch an der Stelle mehr vorstellen.	I would have expected it to be higher.
Information und Kommunikation werden um 4% aufgestockt.	Information and communications have risen by 4%.
Aber was ist mit dem sozialen Dialog und der Beschäftigung? - minus 4,7%.	But what about social dialogue and employment - down 4.7%.
Was ist mit der Energiepolitik, um die wir alle heftigst und immer wieder gestritten haben?	What about energy policy, which we have fought for tooth and nail time and again?
Die reduzieren Sie um 8,2% und die Umweltpolitik gar um 28,2%.	You have cut it by 8.2% and you have cut environmental policy by a hefty 28.2%.
Ich finde, da wurde im Haushaltsvorentwurf, so wie er jetzt existiert, den Prioritäten des Parlaments nicht Rechnung getragen.	To my mind, the preliminary draft budget, as it now stands, takes no account of Parliament' s priorities.
Frau Schreyer, was wir am allermeisten diskutiert haben, was mir selbst auch besonders am Herzen liegt, nämlich Innovation und Unterstützung kleiner und mittlerer Unternehmen, da haben Sie zwar Haushaltszahlen eingesetzt, aber das, was wir im letzten Haushalt noch hatten, haben Sie um fast 70% reduziert.	Mrs Schreyer, what I personally hold dear to my heart, namely innovation and supporting small and medium-sized enterprises - yes, you have put a figure in the budget for this, but you have cut what we still had in the last budget by nearly 70%.
Hierüber müssen wir auch dringend noch einmal miteinander diskutieren und unsere Prioritäten dann auch im Haushalt deutlich machen.	We urgently need to discuss this so that the budget also clearly sets out our priorities.
Zur Kategorie 4 nur soviel: Ich halte es für sehr problematisch, daß wir Serbien im Jahr 2001 mit einer so kleinen Summe beistehen und gleichzeitig sagen: Wenn der Demokratisierungsprozeß in Serbien stattgefunden hat, dann können wir wieder unser Flexibilisierungsinstrument nutzen.	I have just this to say about Category 4: I think it is asking for trouble to support Serbia with such a small amount in 2001 and, at the same time, to say that once Serbia has democratised we can again use our flexibility instrument.
Letzte Anmerkung quer zu Kategorie 3 und 4: Was ist mit dem von Ihnen und Kommissar Kinnock versprochenen Zeitplan zum rechtlichen Rahmen für die Büros der technischen und administrativen Unterstützung bzw. der Transformation?	And one last comment which cuts across both Categories 3 and 4: what about the timetable on the legal framework for the offices for technical and administrative support or transformation promised by you and Commissioner Kinnock?
Sie haben uns im letzten Dezember geschrieben, daß Mitte April dafür ein Vorschlag vorliegen soll.	You wrote to us last December saying that a proposal would be submitted in the middle of April.
Wir sind alle sehr gespannt darauf.	We are all dying to see it.
Wir haben Mitte Mai und hoffen, daß das jetzt aber zügig über die Bühne geht, weil es für die Abwicklung unseres Haushaltsverfahrens auch wichtig ist.	It is now the middle of May and we hope that it will make an appearance shortly because it is also important for our budgetary procedure.
