Herr Präsident, sehr geehrte Damen und Herren Abgeordnete!	, Commission.
Hier wird detailliert zu den Forderungen aus dem Bericht von Frau Stauner aus dem vergangenen Jahr Stellung bezogen.	This report gives a detailed response to the requests made in Mrs Stauner's report from last year.
Darauf aufbauende Aktionen werden in nachprüfbarer Weise dargelegt.	Follow-up actions to this are presented such that they can be verified.
Zur Umsetzung des Aktionsplans bezüglich des Europäischen Entwicklungsfonds hat die Kommission letztes Jahr die notwendigen Arbeiten gemeinsam mit dem Parlament in Angriff genommen.	In order to implement the action plan for the European Development Fund the Commission last year undertook the necessary work in conjunction with Parliament.
Ich möchte der Berichterstatterin, Frau Rühle, für ihre Arbeit und für die Klarstellung danken, dass die Entlastung hinsichtlich des Europäischen Entwicklungsfonds nicht abgelehnt, sondern aufgeschoben ist.	I would like to thank the rapporteur, Mrs Rühle, for her work and for making it clear that the discharge for the European Development Fund has not been rejected, but postponed.
Der Vorschlag, die Entlastung zu verschieben, ist natürlich für die Kommission gleichwohl bedauerlich, weil die Kommission die Untersuchung der makroökonomischen Hilfen beispielsweise in Afrika von sich aus erheblich ausgeweitet hat, um einigen Problemen in diesem Bereich auf den Grund zu gehen.	The proposal to postpone the discharge is, of course, still a matter of regret for the Commission, because it unilaterally decided to considerably extend inquiries into macroeconomic aid in Africa, for example, in order to get to the bottom of some problems in that area.
Frau Rühle hat anerkannt, dass dies Schritte in die richtige Richtung sind.	Mrs Rühle has recognised that these are steps in the right direction.
Sicherlich ist auch insgesamt die Verwaltung der Mittel aus dem Europäischen Entwicklungsfonds keineswegs schlechter als die Verwaltung der entwicklungspolitischen Hilfen aus dem EU-Haushalt.	I can safely say that overall the administration of European Development Fund money is by no means worse than the administration of development aid from the EU budget.
Aber auf jeden Fall kann ich der Berichterstatterin, Frau Rühle, zusagen, dass die Kommission die Zeit nun gut nutzen wird, um die angemahnten Dokumente zügig fertig zu stellen und hier die notwendigen Schritte einzuleiten.	But I can in any case assure the Mrs Rühle as rapporteur that the Commission will make good use of this time to complete the outstanding documents without delay and to take the necessary steps here.
Ich darf mich an dieser Stelle auch bei der Berichterstatterin, Frau van der Laan, und dem Berichterstatter, Herrn Seppänen, bedanken.	I would also like to thank two other rapporteurs, Mrs van der Laan and Mr Seppänen.
Der EGKS-Vertrag läuft zwar im nächsten Jahr aus, die Forschungsaktivitäten werden aber weitergeführt.	Although the ECSC Treaty expires next year, the relevant research activity will continue.
Insofern sind auch hier die Prüfbemerkungen von großer Wichtigkeit.	The audit findings here are also very important.
Mein Ziel und das Ziel der Kommission ist die Verbesserung des Finanzmanagements, die Verminderung von Betrug, die Vermeidung von Fehlern, ob es nun rein formale oder Fehler mit budgetären Auswirkungen sind, sowie die Erhöhung der Effizienz und der Effektivität des Einsatzes öffentlicher Mittel.	My personal objective and the Commission's objective is to improve financial management, to reduce fraud, to avoid errors, be they purely formal errors or errors with budgetary implications, and also to improve efficiency and ensure that public funds are used more effectively.
Dies sind ganz wesentliche Ziele, die gemeinsame Anstrengungen erfordern, um sie zu erreichen.	These are very important objectives which require a joint effort to achieve.
Das sind vor allen Dingen gemeinsame Anstrengungen von Kommission und Mitgliedstaaten, denn 83 % der Mittel aus dem EU-Haushalt werden durch die Mitgliedstaaten verwaltet.	I have in mind above all the joint efforts of the Commission and the Member States, as 83% of the funds under the EU budget are administered by the Member States.
Ihnen obliegt die Primärkontrolle.	The primary duty of control falls to them.
Wir haben jetzt auch im ECOFIN-Rat ausführlich über diese Aufgaben der Mitgliedstaaten gesprochen.	We have also had detailed discussions in the Ecofin Council on these duties for the Member States.
Ich kann allerdings noch nicht sagen, dass ich schon ganz zufrieden mit den Antworten der Mitgliedstaaten auf den Bericht des Rechnungshofs wäre, aber immerhin liegen jetzt ausführlichere Informationen darüber vor, was die Mitgliedstaaten in den vergangenen Jahren zur Betrugsbekämpfung getan haben.	However, I still cannot say that I am entirely satisfied with the Member States' responses to the Court of Auditors' report, but at least more detailed information is now available about what the Member States have done in recent years to combat fraud.
Einige Ausgabenbereiche der Gemeinschaftspolitik, die die Mitgliedstaaten umsetzen, sind - wie wir alle wissen - auch sehr betrugsanfällig.	Some of the areas of Community policy implemented by the Member States are, as we all know, also very much prone to fraud.
Als Beispiel möchte ich hier die Exporterstattung im Agrarbereich nennen.	One such area that I would like to mention here is that of agricultural export refunds.
Hier müssen nicht nur die Vorgänge selbst, sondern auch die Kontrollmechanismen ständig geprüft werden, denn die Kontrollsysteme weichen nicht nur - wie das manchmal als Vorurteil gesagt wird - in südlicher Sonne auf, sondern es lässt sich auch in manchen Gegenden, in denen eigentlich preußische Tugenden reklamiert werden, eher ein Laissez-faire-Stil bei den Kontrollsystemen feststellen.	In this area, it is necessary to continuously check not only the procedures themselves, but also the control mechanisms. I say this because the control systems are not only weaker the further south you travel - which is a common perception - but also, in some regions which claim to have Prussian efficiency, there is in fact a somewhat laissez-faire approach to control systems.
Hier setzt die Kommission nicht nur auf eigene Audits, sondern auch auf den konkreten Geldbeutel der Mitgliedstaaten, damit meine ich das Instrument der finanziellen Sanktionen, also der Kürzung von Zahlungen an die Mitgliedstaaten.	In this case, the Commission relies not only on it own audits but it can also hit Member States' purses, by which I mean the use of financial sanctions by reducing payments to Member States.
Das führt manchmal - oder sogar relativ häufig - zu langen und manchmal auch gerichtlichen Auseinandersetzungen.	This sometimes - relatively often even - leads to protracted disputes and sometimes actual litigation.
Dadurch wird aber meines Erachtens das Instrument nicht diskreditiert, sondern das ist in einem Rechtsstaat so.	But I do not believe that that financial sanctions are discredited because of this, that is just how things are in a state bound by the rule of law.
Wesentlich ist aber, dass die Kommission dann auch mit rechtlichen Mitteln versucht, ihre Position durchzusetzen.	However, what is important is that the Commission should also use legal means to secure its position.
Das Thema Exporterstattung ist auch ein Beispiel dafür, dass die Rechtsgrundlagen manchmal so detailliert und spezifiziert sind, dass sie geradezu wie Anreize zu betrügerischem Handeln wirken können.	Export refunds are also an example of the fact that the legal bases are sometimes so detailed and specific that they can almost act as an incentive to fraudulent behaviour.
Deshalb wurde in der Verwaltungsreform auch beschlossen, Verordnungsvorschläge der Kommission zukünftig gründlich auf ihre Betrugsanfälligkeit zu überprüfen.	For that reason it has also been agreed, under the administrative reform, that proposals for regulations put forward by the Commission should in future be scrutinised with regard to their susceptibility to fraud.
Hier ersuche ich auch um die verstärkte Kooperation des Parlaments als Gesetzgeber und die Unterstützung speziell des Haushaltsausschusses, denn nicht immer stoßen verschärfte Kontrollvorschriften auf die begeisterte Zustimmung der zuständigen Fachausschüsse oder gar der betroffenen Länder.	In this respect I would also like to request extra cooperation from Parliament in its legislative role and special support from the Committee on Budgets, because stricter control procedures are not always welcomed with open arms by the relevant specialist committees or even the countries affected.
Die Kooperation mit dem Gesetzgeber ist im Sinne von gutem Finanzmanagement unbedingt notwendig.	Cooperation with the legislature is absolutely essential for good financial management.
Ich will ein ganz aktuelles Beispiel dafür nennen: In Stockholm wurde jetzt vom Rat beschlossen - eigentlich sollte das etwas Positives sein, zumindest nach der Auffassung des Rates, dass das VI. Forschungsrahmenprogramm im Juni 2002 verabschiedet werden, aber schon am 1. Januar 2003 beginnen soll.	Let me mention a very topical example of this: the Council recently decided in Stockholm - and this is actually supposed to be something positive, at least in the Council's eyes - that the Sixth Framework Programme on Research would be adopted in July 2002 but actually start as early as 1 January 2003.
Diese Zeit reicht aber schlichtweg nicht aus, um die Ausschreibung und die Vorbereitungsmaßnahmen ordentlich durchzuführen.	However, that simply does not allow enough time to properly carry out the tendering process and the preparatory work.
Wenn dieser Terminkalender so bestehen bleibt, dann laufen wir sehenden Auges in die Fehler, die für das letzte Rahmenprogramm vom Rechnungshof und vor allen Dingen auch vom Parlament kritisch angemerkt wurden, und das darf sich meines Erachtens nicht wiederholen.	If this timetable is not changed, we will quite consciously be embarking on a course leading to the kind of errors that the Court of Auditors and above all Parliament criticised with the last Framework Programme. I believe that we should not let history repeat itself.
Wir müssen aus den Fehlern lernen.	We must learn from our mistakes.
Export von überschüssiger Interventionsbutter als Hilfe für die damalige Sowjetunion, das war auch der Ausgangspunkt der sogenannten Fléchard-Affäre.	The "Fléchard case" started with the export of surplus intervention butter as aid to the former Soviet Union.
Hier geht es um Entscheidungen der vorvorherigen Kommission aus der Zeit von 1991 bis 1994.	The decisions concerned were made by the previous Commission between 1991 and 1994.
Das Parlament hat den Fall mit großer Gründlichkeit geprüft.	Parliament investigated this case very thoroughly.
Der Rechnungshof hat den Fall im Detail analysiert, UCLAF und OLAF haben diverse Untersuchungen unternommen, und die jetzige Kommission hat den Fall von allen Seiten beleuchtet und Ihnen als Entlastungsbehörde alle uns verfügbaren Informationen zur Verfügung gestellt.	The Court of Auditors analysed this case in detail and UCLAF and OLAF carried out various investigations. The present Commission has also examined the case from all angles and it has made all the information in its possession available to you as discharge authority.
Wir sind uns alle einig, dass sich die Situation von damals nicht rückgängig machen lässt.	We all agree that it is not possible to undo what was done at that time.
Deshalb stellen Sie als Entlastungsbehörde die berechtigte Frage: Was wäre denn heute, wenn ein ähnlicher Fall auftreten würde?	That is why you as discharge authority are justified in asking what would happen now if a similar case arose.
Seit 1994 haben sich viele Regelungen geändert.	Many of the arrangements have changed since 1994.
Die Verordnung zum Rechnungsabschlussverfahren im Bereich der Agrarpolitik wurde geändert, die Abteilung für den Rechnungsabschluss in der zuständigen Generaldirektion wurde organisatorisch getrennt.	The regulation on the clearance of accounts procedure in the field of agricultural policy has been amended, and the division responsible for clearance of accounts in the relevant Directorate-General has been organisationally separated.
1995 wurde die Verordnung zum Schutz der finanziellen Interessen verabschiedet, die sogenannte Black List, also die Schwarze Liste, wurde eingeführt, auf die die Mitgliedstaaten solche Unternehmen setzen sollen, die grob fahrlässig oder vorsätzlich zum finanziellen Nachteil der EU gehandelt haben.	In 1995 the regulation on the protection of the Community's financial interests, the "black list", was introduced, which the Member States are supposed to use to list companies who have shown gross negligence or have deliberately acted against the financial interests of the EU.
Herr Blak drängt hier auf eine Verbesserung des Verfahrens für die Erstellung dieser Black List.	Mr Blak is pressing here for an improvement in the procedure for drawing up this black list.
Ich kann zusagen, dass wir dies auch in Vorbereitung haben.	I can assure you that we are already working on this.
Dann - als wichtiger Schritt - wurde OLAF als unabhängige Untersuchungsbehörde der Gemeinschaft errichtet.	OLAF would then become the Community's independent investigatory authority, an important step.
Für die Zukunft sind nicht nur mit der Verwaltungsreform wichtige Änderungen in Gang gesetzt worden, auch die Neufassung der Haushaltsordnung wird klarere Regelungen bringen, gerade für die Rückforderung von Zahlungen.	As regards the future, not only have important changes been initiated through administrative reform, the new version of the Financial Regulation will provide a clearer framework, especially for the recovery of payments.
Danach werden Rückforderungen nur dann teilweise oder ganz erlassen werden können, wenn der zuständige Generaldirektor dies entscheidet, und vor allem ist der Verzichtsbeschluss zu begründen.	This means that the recovery of payments can only be waived in part or in full if the Director-General responsible so decides, and in particular the decision to forego recovery must be justified.
In Zweifelsfällen muss die Kommission entscheiden.	In case of doubt the Commission must decide.
Im Zuge der Debatten hat die Kommission dem Parlament außerdem zugesagt, dass sie die Anwendung des Verwaltungs- und Rechtsgrundsatzes der Proportionalität auf klare, solide und transparente Leitlinien stellen wird.	During the debates the Commission has also given Parliament an assurance that it will base the application of the administrative and legal principle of proportionality on clear, solid and transparent guidelines.
Das war jetzt die lange Antwort auf die Frage: Würde die Kommission heute einen ähnlichen Fall genauso behandeln?	That was the long answer to the question "Would the Commission handle a similar case in exactly the same way now?"
Die kurze Antwort lautet: Nein!	The short answer is "No!"
Sie wird in vergleichbaren Fällen heute anders vorgehen.	It would take a different approach in comparable cases today.
Die Verwaltungsreform der Kommission hat das klare Ziel der Verbesserung des Finanzmanagements.	The clear objective of the administrative reform of the Commission is to improve financial management.
Deshalb wurden die Kontrollbereiche in den einzelnen Generaldirektionen verstärkt, deshalb wird der interne Auditdienst aufgebaut, deshalb wurde ein zentraler Finanzdienst entwickelt, das sogenannte early warning system verstärkt, die Organisation für Rückforderung gestrafft.	That is why the control functions of the individual Directorate-Generals have been beefed up, and why the Internal Audit Service has been strengthened, and that is why a central financial service has been created, the early warning system reinforced, and the recovery arrangements tightened up.
Wir verbessern die Umsetzung der Ausgabenprogramme, und wir verstärken das Netz der Kontrollen und zögern nicht, finanzielle Sanktionen zu verhängen.	We are improving the implementation of programmes of expenditure and we are building up the network of controls, and will not hesitate to impose financial sanctions.
Die 10-Punkte-Black List im vorliegenden Bericht zur Reform wird uns bei diesen weiteren Schritten unterstützen.	The 10-point black list in the report on reform will help us to take these further steps.
Ich kann Ihnen im Namen der Kommission zusagen, dass die Entscheidung des Parlaments für eine fristgerechte Haushaltsentlastung als starker Anreiz für die Kommission wirken wird, die Reformen umzusetzen und in ihren Anstrengungen nicht nachzulassen.	I can assure you on behalf of the Commission that a decision by Parliament to grant a budget discharge within the specified time will act as a great incentive for the Commission to implement the reforms and persevere in its efforts.
