Berichterstatterin. - Meine Herren Präsidenten, liebe Kolleginnen und Kollegen!	Presidents, ladies and gentlemen, so much effort, so little effect!
Inhaltlich ist es zweifellos eine Erleichterung, wenn die Zahl der entlassenen Arbeitnehmer in einer bestimmten Region von ursprünglich 1 000 auf 500 reduziert wird und gleichzeitig der Leistungsbezugszeitraum von 12 auf 24 Monate erhöht wird.	In terms of content it undoubtedly represents an alleviation, if the trigger figure for redundant workers in a given region is reduced from 1 000 to 500, and, at the same time, the payment period is raised from 12 to 24 months.
Das erleichtert die Antragstellung und sorgt für Nachhaltigkeit bei der Unterstützung unserer Arbeitnehmer, bis sie einen neuen Arbeitsplatz gefunden haben.	This facilitates the application process and provides sustainable support for our workers until they have found a new job.
Eine sehr umstrittene Frage war die Höhe des Finanzierungsanteils der EU und der Kofinanzierung durch nationale Haushalte.	The level of the EU financing share and cofinancing from national budgets was a highly controversial issue.
Wir haben nun einen Kompromiss gefunden.	We have found a compromise.
Es bleibt grundsätzlich bei den 50 Prozent - also 50:50 - und nur in besonderen Einzelfällen kann der Finanzierungsanteil aus europäischen Geldern auf 65 Prozent erhöht werden.	It remains basically at 50% - so 50:50 - and only in special cases can the financing share from European funds be raised to 65%.
Darüber bin ich sehr froh!	I am very happy about this.
Wir haben also weitergehendem Wunschdenken schon im Ausschuss einen Riegel vorgeschoben, denn der Mitgliedstaat, der Gelder für seine Arbeitnehmerinnen und Arbeitnehmer bekommt, soll sich seiner Verantwortung schon bewusst sein.	In committee we have therefore already put a stop to further wishful thinking, as a Member State which receives funds for its workers should already be aware of its responsibilities.
Dies geschieht am besten dadurch, dass er selbst einen erheblichen Finanzbeitrag zu leisten hat.	This is best achieved if it has a substantial financial contribution to make itself.
Es freut mich besonders, dass wir auch bei den Gesprächen mit Rat und Kommission eine Pauschalierung erreichen konnten, also 20 Prozent der direkten Kosten.	I am especially pleased that we were able to reach a consolidation - 20% of the direct costs - in our talks with the Council and the Commission.
Das ist genauso, wie wir es einige Tage vorher im Ausschuss für den ESF gemacht haben.	This is exactly what we agreed in committee a few days ago for the European Social Fund.
Es bleibt noch genügend Raum für zukünftige Änderungen und Verbesserungen.	There is still enough room for future amendments and improvements.
Ich bedanke mich für die in jeder Phase konstruktive Zusammenarbeit im Ausschuss und dann auch mit Rat und Kommission und bitte Sie um eine breite Unterstützung des vorliegenden Änderungsantrags.	I would like to thank you for your constructive cooperation at every stage, both in committee and with the Council and Commission, and ask you to support the amendment.
