. – Herr Präsident!	.
Persönlich hätte ich, wie viele andere auch, einige Regelungen gerne anders gesehen, zum Beispiel eher einen höheren Bruttobezug und dafür einen eigenen Beitrag zur Pension. Es ist aber offensichtlich, dass jetzt weder der Platz noch die Gelegenheit ist, viele unterschiedliche und widersprüchliche, individuelle Varianten einzubringen.	Along with others, I personally would have liked certain arrangements to be different; I would, for example, have liked to see higher gross pay and to have us making our own pension contributions, but this is evidently neither the time nor the place to introduce many different and mutually contradictory individual variants.
Wenn wir ein Statut haben wollen, dann gibt es nur dieses, und deshalb wird meine Fraktion morgen dem Statut zustimmen.	If we want to have a Statute, then this is the only one we are going to get, and it is for that reason that my Group is going to vote in favour of it tomorrow.
Für uns liegt das Problem aber auch in der Erwägung 12, gegen die wir ja bereits im Rechtsausschuss gestimmt haben.	We also perceive a problem in Recital 12, against which we have already voted in the Committee on Legal Affairs.
Wir haben hier eine getrennte Abstimmung verlangt, und meine Fraktion wird gegen diese Erwägung 12 stimmen. Wir wollen aber nicht, dass an dieser Frage zu einem aktuellen Problem, die noch dazu ohne rechtliche Bedeutung ist, das Statut womöglich im letzten Augenblick noch scheitert!	We have asked for a split vote on it, and my Group will be voting against Recital 12, even though we do not want the Statute to be brought down at the last hurdle by something that is a current problem, but not one with any legal significance.
Wir haben auch ein Problem mit der Änderung, die im Rechtsausschuss zum Artikel 23 angenommen worden ist, dass nämlich das Europäische Parlament als europäische Institution Zahlungen nicht nur in Euro, sondern auch in den Währungen der Nicht-Euro-Länder vornehmen kann.	We also have a problem with the amendment to Article 23, as adopted by the Committee on Legal Affairs, to the effect that the European Parliament, being a European institution, can make payments not only in euros, but also in the currencies of countries outside the eurozone.
Ich glaube, es wäre für ein Haus wie das Europäische Parlament unangemessen, Zahlungen nicht in Euro vorzunehmen. Außerdem wäre es auch mit vielen administrativen Problemen für dieses Haus verbunden.	I think it would be inappropriate for an entity such as the European Parliament to make payments in anything other than the euro, and this would also entail numerous administrative problems for the House.
Wir werden uns also auch gegen diesen Zusatz, der ursprünglich nicht vorgesehen war, wenden.	We will therefore be opposing this addition, for which no provision was originally made.
Ich darf nochmals allen, die hier mitgewirkt haben, sehr herzlich danken. Ich möchte fairerweise auch darauf hinweisen, dass wir zur Entschließung, die morgen ja auch anzunehmen ist, noch einige Zusätze anfügen wollen.	I would like to reiterate my warmest thanks to all those who have played a part in this, while also pointing out, for the sake of fairness, that we want to make a number of additions to the resolution that we shall be adopting tomorrow.
Dies betrifft insbesondere den Wunsch nach einem Assistentenstatut.	Our particular concern is with expressing our desire for an Assistants’ Statute.
Es ist nur fair und angemessen, wenn wir Abgeordnete in diesem Haus endlich eine gemeinsame Regelung bekommen, die auch die rechtliche Situation unserer Mitarbeiterinnen und Mitarbeiter auf neue Grundlagen stellt.	It is only fair and right, if we MEPs are to at last have one set of rules for all, that there should also be one to put the legal position of our staff on a new footing.
Es handelt sich dabei nicht um ein fixes Junktim, aber wir sollten in diesem Hause alles unternehmen, um auch unseren Mitarbeiterinnen und Mitarbeitern faire Regelungen zu bieten.	This is not to make the one dependent on the other, but we who are Members of this House should do everything in our power to offer our staff fair arrangements.
