amtierender Ratspräsident.	President-in-Office of the Council.
Die fortgesetzte Debatte innerhalb der Arabischen Liga gibt berechtigten Anlass zu der Einschätzung, dass auf arabischer Seite der Wille zu echten Fortschritten vorhanden ist.	The continued debate within the Arab League substantiates the view that the Arab world has the will to make genuine progress.
Auch die EU hat in den vergangenen Jahren und Monaten ihr Engagement im Nahen Osten verstärkt. Dabei bleibt für die EU das Nahostquartett der zentrale Akteur.	The EU, too, has increased its involvement in the Middle East in recent years and months; the Quartet remaining its key actor.
In der jüngsten Zeit haben beide Seiten - arabische Welt und Europa - ihre Ideen für eine Intensivierung der politischen Zusammenarbeit verstärkt diskutiert.	Recently, both sides - the Arab world and Europe - have stepped up discussions on their ideas for intensifying political cooperation.
Ich darf hier nur hinweisen auf das Treffen der EU-Troika mit einer Delegation der Arabischen Liga in Sharm el-Sheikh, zum Anderen aber auch darauf, dass der amtierende Ratspräsident, Frank-Walter Steinmeier, in seiner Eigenschaft als EU-Ratspräsident eine Ministerdelegation der Arabischen Liga für den 14. Mai zu einem Treffen mit allen EU-Außenministern nach Brüssel eingeladen hat.	In this regard, I should just like to mention the meeting of the EU Troika with an Arab League delegation in Sharm el-Sheikh, and also to point out that Frank-Walter Steinmeier, in his capacity as President of the EU General Affairs and External Relations Council, has invited a ministerial delegation of the Arab League to a meeting with all the EU Ministers for Foreign Affairs in Brussels on 14 May.
Die internen politischen, gesellschaftlichen und kulturellen Herausforderungen, mit denen sich die arabische Welt konfrontiert sieht, werden allein dadurch natürlich nicht weniger. Aber - ich unterstreiche das ausdrücklich - Europa bietet den arabischen Ländern und Gesellschaften die Zusammenarbeit in allen Bereichen an.	This alone does not reduce the internal political, social and cultural challenges facing the Arab world, of course; but I should like to emphasise clearly that Europe offers Arab countries and societies cooperation in all fields.
Meine Hoffnung ist, dass diese Zusammenarbeit ihren Beitrag zu mehr Verständigung und Toleranz zwischen Europa und der arabischen Welt leisten kann.	It is my hope that this cooperation can contribute to greater understanding and tolerance between Europe and the Arab world.
Diese beiden Werte, Verständigung und Toleranz - Eigenschaften, die die Ratsvorsitzende Angela Merkel zu Beginn der Präsidentschaft in Straßburg als die "Seele Europas ausmachend" beschrieb - sind die entscheidenden Ziele, die wir für einen erfolgreichen Dialog erreichen müssen.	These two values: understanding and tolerance - characteristics that the Council President Angela Merkel described as constituting Europe's soul in Strasbourg at the start of the German Presidency - are the vital ingredients for successful dialogue.
Ich begrüße daher, dass Sie, Herr Rocard, in Ihrem Bericht auch kulturelle Aspekte berücksichtigt haben.	For this reason, I welcome Mr Rocard's inclusion of cultural aspects, too, in his report.
Sie spielen eine große Rolle bei der Frage nach den Möglichkeiten der Europäischen Union, Reformprozesse in der Arabischen Welt zu unterstützen.	These play a major role in determining the EU's scope for supporting reform processes in the Arab world.
Auf beiden Seiten behindern Unkenntnis, Stereotypen und Feindbilder eine fruchtbare, zukunftsorientierte Partnerschaft.	Ignorance, stereotypes and hostility on both sides hinder a productive partnership with prospects.
Dialog und Verständnis für die Kultur des jeweils anderen sind Voraussetzung dafür, dass die Europäische Union Reformprozesse in der gewünschten Form fördern kann.	Dialogue and understanding of the culture of its relevant opposite number are a precondition for the EU's taking the right approach to promoting reform processes.
Im letzten Jahr - Stichwort "Karikaturenstreit" - war viel davon die Rede, dass wir mehr "Dialog der Kulturen" brauchen.	Last year, in the context of the 'caricature conflict', there was much talk of the need for more 'dialogue between cultures'.
Wir müssen bei dem Begriff aber etwas vorsichtig sein. Die Vorstellung von einem Dialog der Kulturen kann, ohne dass wir es wollen, den Kulturrelativismus fördern.	We must use this term with caution, however, as the idea of a dialogue between cultures could accidentally promote cultural relativism.
Die Vorstellung, Normen und Werte seien grundsätzlich kulturell bedingt, läuft unserem Verständnis von universellen Menschenrechten zuwider.	The idea that standards and values are in principle attributable to an individual's culture runs counter to our understanding of universal human rights.
Ich stimme hier mit dem Bericht völlig überein: Er betont die Wichtigkeit des interkulturellen Dialogs und bezieht gleichzeitig klar Stellung für die Universalität der Menschenrechte.	I fully agree with the report in this respect, emphasising as it does the importance of intercultural dialogue whilst coming out clearly in favour of the universality of human rights.
Wir müssen nicht nur bezüglich der Menschenrechte, sondern in jeder Hinsicht die "Kulturalismusfalle" vermeiden.	We must avoid falling into the 'culturism trap' in all respects, not only with regard to human rights.
Die Identität von Menschen ist vielfältig.	Human beings have diverse identities.
Man ist nicht nur Muslim oder Christ oder Atheist, sondern auch Angehöriger einer Berufsgruppe, Student, Familienvater, Mitglied in einem Verein und vieles mehr.	We are not only Muslim or Christian or atheist, but also member of a profession, student, father, member of an association and much more.
Das Problem beim islamischen - wie bei jedem anderen - Fundamentalismus ist, dass ein Element der eigenen Identität - das religiöse - über alle anderen gestellt und die Komplexität der Welt letztlich auf das Bild eines Gegensatzes von "Islam" und "Westen" reduziert wird.	The problem with Islamic fundamentalism, as with any other kind of fundamentalism, is that one element of personal identity - the religious - is placed above all others, and the complexity of the world is ultimately reduced to the idea of an opposition between 'Islam' and 'the West'.
Unsere Politik muss alles vermeiden, was diese Reduktion fördert.	Our policies must avoid everything that promotes this reduction.
Wir müssen das Gemeinsame, nicht das Trennende in den Vordergrund stellen.	We must emphasise what unites us rather than what divides us.
Für Diskussionen und Projekte müssen wir Foren wählen, die von der EU und den arabischen Staaten gemeinsam getragen werden, insbesondere die Anna-Lindh-Stiftung.	We must select joint EU-Arab forums, particularly the Anna Lindh Foundation, for our discussions and projects.
Der politische Islamismus ist - worauf auch Ihr Bericht hinweist - Ausdruck der Modernisierungskrise der arabischen Gesellschaften.	Political Islamism is an expression of the modernisation crisis of Arab societies, as Mr Rocard's report also points out.
Die Auseinandersetzung mit ihm ist in erster Linie eine Aufgabe der arabischen Gesellschaften selbst.	Tackling this is primarily a task for Arab societies themselves.
Auch dort gibt es säkulare und liberale Kräfte.	There, too, there are secular and liberal forces.
Was häufig fehlt, ist jedoch der innergesellschaftliche Dialog über die Frage, wie das Verhältnis von Staat, Religion und Gesellschaft politisch gestaltet werden soll.	What is often missing, however, is dialogue within these societies on the issue of how the relationship between state, religion and society should be shaped in political terms.
Wenn ein solcher innergesellschaftlicher Dialog stattfindet, wird auch deutlich, dass die religiöse Neutralität des Staates und die Durchsetzung der Menschenrechte kein Reformprogramm sind, das "der Westen" der arabischen Welt aufzwingen will, sondern dass sie im eigenen Interesse der arabischen Gesellschaften sind.	Dialogue within society will make clear that the religious neutrality of the state and the enforcement of human rights are not a reform agenda being forced on the Arab world by 'the West', but rather are in the interests of Arab societies themselves.
Wir können diese innergesellschaftlichen Dialogprozesse dadurch unterstützen, dass wir Dialogforen zur Verfügung stellen.	We can support this process of dialogue within society by providing forums for dialogue.
Dies ist z. B. eine wichtige Aufgabe verschiedener politischer Stiftungen, wie wir sie beispielsweise in Deutschland kennen.	This is an important task, for example, of the various political foundations found in countries such as Germany.
