Frau Präsidentin, Herr amtierender Kommissar! Ich habe Ihnen aufmerksam zugehört.	Madam President, Commissioner - for the moment - I listened carefully to what you had to say.
Wer heute für eine Etikettierung ist, der sagt klar und eindeutig: Wir nehmen eigentlich Gesundheitsrisiken in Kauf, wir nehmen sie nicht wahr, und wir nehmen in Kauf, daß Menschen gefährdet werden.	Anyone who is in favour of labelling now is saying loud and clear: we actually accept health risks, we do not take any notice of them, and we accept that people will be at risk, including children who have not reached puberty - Mr Graefe zu Baringdorf made that point.
Kinder vor der Pubertät - der Kollege Graefe zu Baringdorf hat das gesagt -; Herr Kittelmann, gehen Sie in Berlin auf die Straße und sagen: Ist doch gekennzeichnet, ist zwar für Kinder in der Pubertät höchst gefährlich und für alle anderen auch, bei Menschen, die bereits krebskrank sind, fördert es die weitere Bildung der Tumore, und ansonsten kann es krebserregend sein.	Mr Kittelmann, go out onto the streets in Berlin and say: 'but it does say on the label that it is highly dangerous for children during puberty and for everyone else as well; and if people already have cancer it encourages more tumours to form, and in addition it can be carcinogenic'.
Na super, machen Sie das!	Go on, why not?
Mehr wünsche ich mir nicht im Wahlkampf!	I could not hope for more in the election campaign!
Jetzt sagen Sie mir doch bitte das eine, Sir Leon Brittan: Sie sind nicht mehr lange im Amt, und deshalb muß ich eigentlich die Diskussion nicht zu intensiv mit Ihnen führen.	Now just tell me one thing, Sir Leon. You will not be in office for much longer, and that is why I do not actually need to hold too intensive a discussion with you.
Wen vertreten Sie eigentlich hier?	Whom are you actually representing here?
Vertreten Sie die USA hier, oder vertreten Sie die Europäische Union?	Are you representing the USA, or are you representing the European Union?
Wenn ja, wen in der Europäischen Union?	If so, whom in the European Union?
Die Verbraucherinnen und Verbraucher jedenfalls nicht, denn sonst wüßten Sie, daß eines der Grundprinzipien der Gesetzgebung der Europäischen Union ist, daß nur sichere, unbedenkliche Produkte auf den Markt kommen dürfen, und erst dann werden sie gekennzeichnet.	Certainly not consumers, because if so you would be aware that one of the basic principles of European Union legislation is that only safe, completely harmless products are allowed onto the market, and even then they are labelled.
Denn die Kennzeichnung ist kein Warnhinweis, Sir Leon Brittan, sondern die Kennzeichnung ist eine Information für die Verbraucher, aber Voraussetzung ist, daß Produkte sicher sind.	You see, a label is not a warning notice, Sir Leon; a label provides consumers with information, but the assumption is that the products are safe.
Das sind diese aber nicht, und was Sie im Moment machen, würde ich normalerweise als hasardeurhaft bezeichnen, aber es ist unverantwortlich, und ich werde es in der Öffentlichkeit deutlich machen, was die Christdemokraten in diesem Haus vertreten!	That is not the case here, and what you are doing at the moment is what I would normally describe as reckless, but it is irresponsible, and I will make it clear in public what the Christian Democrats here in this House stand for!
